SAMPLE_ID	mutations	gistic	structural_variants
MO_1339	WXS	WXS	WXS
MO_1337	WXS	WXS	WXS
MO_1336	WXS	WXS	WXS
SC_9058	WXS	WXS	WXS
SC_9059	WXS	WXS	WXS
SC_9050	WXS	WXS	WXS
SC_9056	WXS	WXS	WXS
SC_9057	WXS	WXS	WXS
MO_1232	WXS	WXS	WXS
SC_9055	WXS	WXS	WXS
6115247	WXS	WXS	WXS
6115242	WXS	WXS	WXS
SC_9038	WXS	WXS	WXS
MO_1130	WXS	WXS	WXS
6115118	WXS	WXS	WXS
6115117	WXS	WXS	WXS
6115114	WXS	WXS	WXS
6115115	WXS	WXS	WXS
TP_2034	WXS	WXS	WXS
TP_2032	WXS	WXS	WXS
SC_9100	WXS	WXS	WXS
SC_9103	WXS	WXS	WXS
SC_9104	WXS	WXS	WXS
SC_9107	WXS	WXS	WXS
SC_9109	WXS	WXS	WXS
MO_1202	WXS	WXS	WXS
MO_1128	WXS	WXS	WXS
1115154	WXS	WXS	WXS
1115157	WXS	WXS	WXS
1115156	WXS	WXS	WXS
6115237	WXS	WXS	WXS
SC_9029	WXS	WXS	WXS
SC_9028	WXS	WXS	WXS
SC_9027	WXS	WXS	WXS
SC_9026	WXS	WXS	WXS
SC_9024	WXS	WXS	WXS
MO_1124	WXS	WXS	WXS
SC_9022	WXS	WXS	WXS
SC_9021	WXS	WXS	WXS
SC_9020	WXS	WXS	WXS
SC_9081	WXS	WXS	WXS
SC_9080	WXS	WXS	WXS
SC_9083	WXS	WXS	WXS
SC_9082	WXS	WXS	WXS
SC_9084	WXS	WXS	WXS
SC_9086	WXS	WXS	WXS
SC_9089	WXS	WXS	WXS
MO_1215	WXS	WXS	WXS
TP_2020	WXS	WXS	WXS
MO_1219	WXS	WXS	WXS
MO_1114	WXS	WXS	WXS
MO_1118	WXS	WXS	WXS
MO_1054	WXS	WXS	WXS
6115224	WXS	WXS	WXS
SC_9039	WXS	WXS	WXS
6115227	WXS	WXS	WXS
SC_9034	WXS	WXS	WXS
SC_9035	WXS	WXS	WXS
SC_9036	WXS	WXS	WXS
SC_9037	WXS	WXS	WXS
SC_9030	WXS	WXS	WXS
SC_9031	WXS	WXS	WXS
SC_9032	WXS	WXS	WXS
1115153	WXS	WXS	WXS
SC_9099	WXS	WXS	WXS
SC_9096	WXS	WXS	WXS
SC_9097	WXS	WXS	WXS
SC_9094	WXS	WXS	WXS
6115234	WXS	WXS	WXS
SC_9092	WXS	WXS	WXS
SC_9093	WXS	WXS	WXS
SC_9090	WXS	WXS	WXS
SC_9091	WXS	WXS	WXS
MO_1263	WXS	WXS	WXS
MO_1262	WXS	WXS	WXS
TP_2010	WXS	WXS	WXS
MO_1184	WXS	WXS	WXS
TP_2054	WXS	WXS	WXS
SC_9023	WXS	WXS	WXS
SC_9009	WXS	WXS	WXS
SC_9008	WXS	WXS	WXS
6115219	WXS	WXS	WXS
SC_9001	WXS	WXS	WXS
SC_9003	WXS	WXS	WXS
SC_9005	WXS	WXS	WXS
SC_9007	WXS	WXS	WXS
TP_2001	WXS	WXS	WXS
SC_9043	WXS	WXS	WXS
TP_2009	WXS	WXS	WXS
SC_9054	WXS	WXS	WXS
MO_1277	WXS	WXS	WXS
TP_2064	WXS	WXS	WXS
SC_9016	WXS	WXS	WXS
SC_9017	WXS	WXS	WXS
SC_9012	WXS	WXS	WXS
SC_9010	WXS	WXS	WXS
SC_9011	WXS	WXS	WXS
SC_9018	WXS	WXS	WXS
SC_9019	WXS	WXS	WXS
MO_1176	WXS	WXS	WXS
1115202	WXS	WXS	WXS
MO_1074	WXS	WXS	WXS
MO_1179	WXS	WXS	WXS
MO_1071	WXS	WXS	WXS
MO_1249	WXS	WXS	WXS
MO_1084	WXS	WXS	WXS
MO_1244	WXS	WXS	WXS
MO_1241	WXS	WXS	WXS
SC_9048	WXS	WXS	WXS
SC_9063	WXS	WXS	WXS
SC_9062	WXS	WXS	WXS
SC_9061	WXS	WXS	WXS
SC_9060	WXS	WXS	WXS
SC_9066	WXS	WXS	WXS
SC_9065	WXS	WXS	WXS
SC_9068	WXS	WXS	WXS
MO_1008	WXS	WXS	WXS
MO_1161	WXS	WXS	WXS
MO_1162	WXS	WXS	WXS
MO_1040	WXS	WXS	WXS
MO_1316	WXS	WXS	WXS
TP_2060	WXS	WXS	WXS
TP_2061	WXS	WXS	WXS
6115123	WXS	WXS	WXS
6115122	WXS	WXS	WXS
6115121	WXS	WXS	WXS
6115251	WXS	WXS	WXS
6115250	WXS	WXS	WXS
MO_1094	WXS	WXS	WXS
MO_1095	WXS	WXS	WXS
MO_1096	WXS	WXS	WXS
SC_9071	WXS	WXS	WXS
SC_9072	WXS	WXS	WXS
SC_9073	WXS	WXS	WXS
1115183	WXS	WXS	WXS
SC_9076	WXS	WXS	WXS
6115233	WXS	WXS	WXS
MO_1012	WXS	WXS	WXS
MO_1013	WXS	WXS	WXS
MO_1014	WXS	WXS	WXS
MO_1015	WXS	WXS	WXS
1115244	WXS	WXS	WXS
1115161	WXS	WXS	WXS
MO_1192	WXS	WXS	WXS
SC_9049	WXS	WXS	WXS
MO_1020	WXS	WXS	WXS
SC_9047	WXS	WXS	WXS
SC_9046	WXS	WXS	WXS
MO_1221	WXS	WXS	WXS
MO_1410	WXS	WXS	WXS
