MutationType	CN2_2b_CKDN200005067-1A_H5T7VDSXY_L1	CN9R1_1_CKDN190048205-1A_HV3TFDSXX_L1	CN9R1_2_CKDN190048207-1A_HTC3FDSXX_L2	CN9R2_1_CKDN190048209-1A_HTC3FDSXX_L2
0:homdel:0-100kb	0	0	0	0
0:homdel:100kb-1Mb	0	0	0	0
0:homdel:>1Mb	0	0	0	0
1:LOH:0-100kb	234	273	264	257
1:LOH:100kb-1Mb	96	106	122	108
1:LOH:1Mb-10Mb	1	0	0	1
1:LOH:10Mb-40Mb	0	0	0	0
1:LOH:>40Mb	0	0	0	0
2:LOH:0-100kb	19	19	23	21
2:LOH:100kb-1Mb	11	6	11	13
2:LOH:1Mb-10Mb	3	1	2	1
2:LOH:10Mb-40Mb	0	0	0	0
2:LOH:>40Mb	0	0	0	0
3-4:LOH:0-100kb	499	323	630	866
3-4:LOH:100kb-1Mb	967	455	1042	1203
3-4:LOH:1Mb-10Mb	126	60	129	113
3-4:LOH:10Mb-40Mb	6	2	7	3
3-4:LOH:>40Mb	0	0	0	0
5-8:LOH:0-100kb	1371	1527	1465	1288
5-8:LOH:100kb-1Mb	1983	2289	2088	2008
5-8:LOH:1Mb-10Mb	315	282	262	316
5-8:LOH:10Mb-40Mb	9	11	5	6
5-8:LOH:>40Mb	1	2	2	2
9+:LOH:0-100kb	142	428	170	58
9+:LOH:100kb-1Mb	257	697	338	161
9+:LOH:1Mb-10Mb	43	90	61	39
9+:LOH:10Mb-40Mb	0	1	0	0
9+:LOH:>40Mb	0	0	0	0
2:het:0-100kb	24	16	14	22
2:het:100kb-1Mb	4	1	2	7
2:het:1Mb-10Mb	0	0	0	0
2:het:10Mb-40Mb	0	0	1	1
2:het:>40Mb	0	0	0	0
3-4:het:0-100kb	631	381	659	932
3-4:het:100kb-1Mb	288	134	264	319
3-4:het:1Mb-10Mb	4	0	6	8
3-4:het:10Mb-40Mb	2	2	2	1
3-4:het:>40Mb	0	0	0	0
5-8:het:0-100kb	1769	1937	1934	1733
5-8:het:100kb-1Mb	599	637	614	568
5-8:het:1Mb-10Mb	4	10	6	3
5-8:het:10Mb-40Mb	0	0	1	0
5-8:het:>40Mb	0	0	0	0
9+:het:0-100kb	452	799	590	402
9+:het:100kb-1Mb	112	238	128	106
9+:het:1Mb-10Mb	4	9	5	8
9+:het:10Mb-40Mb	0	0	0	0
9+:het:>40Mb	0	0	0	0
