NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	137.578	33.686	37.169	31.48	0.123	0.93	20000.0
2	145.828	33.636	40.656	32.311	0.108	0.926	20000.0
3	131.174	32.053	34.065	30.101	0.108	0.93	20000.0
4	136.934	32.868	36.248	30.471	0.118	0.929	20000.0
5	133.082	33.746	35.403	31.707	0.136	0.915	20000.0
6	126.336	30.614	33.121	28.94	0.103	0.938	20000.0
7	129.515	32.53	36.16	31.159	0.106	0.925	30000.0
8	138.329	33.089	36.869	30.904	0.115	0.929	20000.0
9	131.768	32.86	35.013	29.523	0.126	0.934	20000.0
10	137.605	34.284	34.854	30.718	0.125	0.931	20000.0
11	141.347	35.119	36.634	32.043	0.13	0.921	20000.0
12	139.172	35.324	35.87	32.672	0.124	0.915	20000.0
13	132.383	33.315	35.321	30.744	0.118	0.929	20000.0
14	133.726	32.442	36.367	30.97	0.111	0.924	20000.0
15	128.373	30.646	33.718	29.308	0.102	0.937	20000.0
16	136.668	33.12	37.596	31.452	0.11	0.929	20000.0
17	127.292	31.159	34.073	28.62	0.119	0.94	20000.0
18	141.255	33.371	38.155	31.613	0.112	0.925	20000.0
19	133.76	31.617	34.916	29.376	0.116	0.934	20000.0
20	143.258	34.298	38.712	32.44	0.123	0.924	20000.0
21	133.495	34.252	35.556	31.704	0.124	0.926	20000.0
22	144.107	34.626	36.891	31.497	0.121	0.928	20000.0
23	142.368	35.056	37.837	32.686	0.131	0.917	20000.0
24	146.163	35.007	38.915	31.949	0.125	0.927	20000.0
25	133.609	33.249	37.321	31.381	0.119	0.927	20000.0
26	148.816	35.605	39.449	33.404	0.123	0.92	20000.0
27	129.459	32.009	34.405	30.223	0.117	0.932	30000.0
28	131.513	33.234	33.997	30.511	0.111	0.929	20000.0
29	144.398	36.051	36.897	32.73	0.136	0.913	30000.0
30	139.152	35.179	36.883	32.709	0.13	0.921	30000.0
31	135.484	33.676	34.216	29.774	0.124	0.93	20000.0
32	132.003	33.687	33.264	30.559	0.12	0.927	20000.0
33	144.289	35.882	40.167	34.503	0.133	0.907	20000.0
34	135.741	32.622	35.987	30.78	0.112	0.93	20000.0
35	135.256	33.34	34.752	29.972	0.126	0.93	40000.0
36	137.131	33.404	36.556	31.264	0.12	0.927	20000.0
37	147.618	35.814	37.067	31.88	0.13	0.922	20000.0
38	138.254	34.512	37.71	31.846	0.125	0.929	20000.0
39	139.354	33.401	35.1	29.943	0.126	0.929	20000.0
40	145.265	36.196	37.206	32.545	0.128	0.919	20000.0
41	143.19	35.317	38.103	32.795	0.131	0.921	20000.0
42	130.048	33.583	34.629	32.17	0.12	0.919	20000.0
