MutationsType	CNV48A	CNV48B	CNV48C
0:homdel:0-100kb	1.31E-05	5.30E-05	6.19E-05
0:homdel:100kb-1Mb	2.51E-05	6.11E-05	5.80E-09
0:homdel:>1Mb	1.67E-09	3.44E-05	1.88E-04
1:LOH:0-100kb	2.00E-04	2.57E-04	1.35E-08
1:LOH:100kb-1Mb	1.32E-04	3.73E-04	1.44E-07
1:LOH:1Mb-10Mb	8.62E-05	3.41E-04	1.91E-04
1:LOH:10Mb-40Mb	4.94E-06	1.38E-04	2.50E-04
1:LOH:>40Mb	1.28E-09	4.66E-05	2.23E-04
2:LOH:0-100kb	1.34E-04	2.54E-04	7.32E-05
2:LOH:100kb-1Mb	3.14E-04	4.83E-04	1.76E-04
2:LOH:1Mb-10Mb	1.98E-04	5.89E-04	2.90E-04
2:LOH:10Mb-40Mb	1.41E-04	3.04E-04	2.88E-04
2:LOH:>40Mb	1.46E-04	1.96E-04	2.26E-04
3-4:LOH:0-100kb	1.93E-04	2.53E-04	2.74E-04
3-4:LOH:100kb-1Mb	4.14E-04	4.75E-04	4.73E-04
3-4:LOH:1Mb-10Mb	5.14E-04	5.86E-04	4.42E-04
3-4:LOH:10Mb-40Mb	1.98E-04	1.02E-04	2.69E-04
3-4:LOH:>40Mb	1.22E-04	6.68E-05	1.33E-04
5-8:LOH:0-100kb	2.07E-04	1.52E-04	2.11E-04
5-8:LOH:100kb-1Mb	3.26E-04	3.58E-04	3.43E-04
5-8:LOH:1Mb-10Mb	2.35E-04	9.10E-05	3.28E-04
5-8:LOH:10Mb-40Mb	9.26E-05	6.74E-05	1.63E-04
5-8:LOH:>40Mb	3.53E-05	3.00E-09	4.88E-05
9+:LOH:0-100kb	1.26E-04	6.68E-05	3.68E-09
9+:LOH:100kb-1Mb	2.03E-04	4.73E-05	4.90E-09
9+:LOH:1Mb-10Mb	6.71E-05	1.92E-05	8.11E-09
9+:LOH:10Mb-40Mb	1.99E-10	1.61E-10	5.71E-10
9+:LOH:>40Mb	1.99E-10	1.61E-10	5.71E-10
2:het:0-100kb	1.60E-05	7.10E-05	5.00E-09
2:het:100kb-1Mb	1.77E-09	2.32E-04	8.62E-05
2:het:1Mb-10Mb	4.00E-05	3.26E-04	2.76E-04
2:het:10Mb-40Mb	2.13E-05	8.13E-05	2.72E-04
2:het:>40Mb	1.33E-09	4.70E-05	1.81E-04
3-4:het:0-100kb	9.64E-05	7.73E-05	1.27E-04
3-4:het:100kb-1Mb	2.96E-04	2.18E-04	2.52E-04
3-4:het:1Mb-10Mb	3.20E-04	3.61E-04	5.89E-04
3-4:het:10Mb-40Mb	6.74E-06	6.13E-05	5.29E-04
3-4:het:>40Mb	5.60E-05	2.51E-05	3.60E-04
5-8:het:0-100kb	8.63E-05	1.53E-09	1.44E-04
5-8:het:100kb-1Mb	2.33E-04	8.49E-05	5.06E-04
5-8:het:1Mb-10Mb	3.88E-04	1.60E-04	5.64E-04
5-8:het:10Mb-40Mb	1.36E-04	3.90E-05	3.83E-04
5-8:het:>40Mb	6.30E-05	7.75E-10	1.92E-04
9+:het:0-100kb	1.99E-10	1.61E-10	5.71E-10
9+:het:100kb-1Mb	5.83E-05	4.58E-05	8.92E-05
9+:het:1Mb-10Mb	4.50E-05	2.88E-09	7.67E-05
9+:het:10Mb-40Mb	2.30E-05	3.21E-09	3.39E-05
9+:het:>40Mb	1.99E-10	1.61E-10	5.71E-10
