Sample Names	MutationTypes	CNV48A	CNV48B
CN2_2b_CKDN200005067-1A_H5T7VDSXY_L1	0:homdel:0-100kb	1.0	0.0
CN2_2b_CKDN200005067-1A_H5T7VDSXY_L1	0:homdel:100kb-1Mb	1.0	0.0
CN2_2b_CKDN200005067-1A_H5T7VDSXY_L1	0:homdel:>1Mb	1.0	0.0
CN2_2b_CKDN200005067-1A_H5T7VDSXY_L1	1:LOH:0-100kb	1.0	0.0
CN2_2b_CKDN200005067-1A_H5T7VDSXY_L1	1:LOH:100kb-1Mb	1.0	0.0
CN2_2b_CKDN200005067-1A_H5T7VDSXY_L1	1:LOH:1Mb-10Mb	1.0	0.0
CN2_2b_CKDN200005067-1A_H5T7VDSXY_L1	1:LOH:10Mb-40Mb	1.0	0.0
CN2_2b_CKDN200005067-1A_H5T7VDSXY_L1	1:LOH:>40Mb	1.0	0.0
CN2_2b_CKDN200005067-1A_H5T7VDSXY_L1	2:LOH:0-100kb	1.0	0.0
CN2_2b_CKDN200005067-1A_H5T7VDSXY_L1	2:LOH:100kb-1Mb	1.0	0.0
CN2_2b_CKDN200005067-1A_H5T7VDSXY_L1	2:LOH:1Mb-10Mb	1.0	0.0
CN2_2b_CKDN200005067-1A_H5T7VDSXY_L1	2:LOH:10Mb-40Mb	1.0	0.0
CN2_2b_CKDN200005067-1A_H5T7VDSXY_L1	2:LOH:>40Mb	1.0	0.0
CN2_2b_CKDN200005067-1A_H5T7VDSXY_L1	3-4:LOH:0-100kb	1.0	0.0
CN2_2b_CKDN200005067-1A_H5T7VDSXY_L1	3-4:LOH:100kb-1Mb	1.0	0.0
CN2_2b_CKDN200005067-1A_H5T7VDSXY_L1	3-4:LOH:1Mb-10Mb	1.0	0.0
CN2_2b_CKDN200005067-1A_H5T7VDSXY_L1	3-4:LOH:10Mb-40Mb	1.0	0.0
CN2_2b_CKDN200005067-1A_H5T7VDSXY_L1	3-4:LOH:>40Mb	1.0	0.0
CN2_2b_CKDN200005067-1A_H5T7VDSXY_L1	5-8:LOH:0-100kb	1.0	0.0
CN2_2b_CKDN200005067-1A_H5T7VDSXY_L1	5-8:LOH:100kb-1Mb	1.0	0.0
CN2_2b_CKDN200005067-1A_H5T7VDSXY_L1	5-8:LOH:1Mb-10Mb	1.0	0.0
CN2_2b_CKDN200005067-1A_H5T7VDSXY_L1	5-8:LOH:10Mb-40Mb	1.0	0.0
CN2_2b_CKDN200005067-1A_H5T7VDSXY_L1	5-8:LOH:>40Mb	1.0	0.0
CN2_2b_CKDN200005067-1A_H5T7VDSXY_L1	9+:LOH:0-100kb	1.0	0.0
CN2_2b_CKDN200005067-1A_H5T7VDSXY_L1	9+:LOH:100kb-1Mb	1.0	0.0
CN2_2b_CKDN200005067-1A_H5T7VDSXY_L1	9+:LOH:1Mb-10Mb	1.0	0.0
CN2_2b_CKDN200005067-1A_H5T7VDSXY_L1	9+:LOH:10Mb-40Mb	1.0	0.0
CN2_2b_CKDN200005067-1A_H5T7VDSXY_L1	9+:LOH:>40Mb	1.0	0.0
CN2_2b_CKDN200005067-1A_H5T7VDSXY_L1	2:het:0-100kb	1.0	0.0
CN2_2b_CKDN200005067-1A_H5T7VDSXY_L1	2:het:100kb-1Mb	1.0	0.0
CN2_2b_CKDN200005067-1A_H5T7VDSXY_L1	2:het:1Mb-10Mb	1.0	0.0
CN2_2b_CKDN200005067-1A_H5T7VDSXY_L1	2:het:10Mb-40Mb	1.0	0.0
CN2_2b_CKDN200005067-1A_H5T7VDSXY_L1	2:het:>40Mb	1.0	0.0
CN2_2b_CKDN200005067-1A_H5T7VDSXY_L1	3-4:het:0-100kb	1.0	0.0
CN2_2b_CKDN200005067-1A_H5T7VDSXY_L1	3-4:het:100kb-1Mb	1.0	0.0
CN2_2b_CKDN200005067-1A_H5T7VDSXY_L1	3-4:het:1Mb-10Mb	1.0	0.0
CN2_2b_CKDN200005067-1A_H5T7VDSXY_L1	3-4:het:10Mb-40Mb	1.0	0.0
CN2_2b_CKDN200005067-1A_H5T7VDSXY_L1	3-4:het:>40Mb	1.0	0.0
CN2_2b_CKDN200005067-1A_H5T7VDSXY_L1	5-8:het:0-100kb	1.0	0.0
CN2_2b_CKDN200005067-1A_H5T7VDSXY_L1	5-8:het:100kb-1Mb	1.0	0.0
CN2_2b_CKDN200005067-1A_H5T7VDSXY_L1	5-8:het:1Mb-10Mb	1.0	0.0
CN2_2b_CKDN200005067-1A_H5T7VDSXY_L1	5-8:het:10Mb-40Mb	1.0	0.0
CN2_2b_CKDN200005067-1A_H5T7VDSXY_L1	5-8:het:>40Mb	1.0	0.0
CN2_2b_CKDN200005067-1A_H5T7VDSXY_L1	9+:het:0-100kb	1.0	0.0
CN2_2b_CKDN200005067-1A_H5T7VDSXY_L1	9+:het:100kb-1Mb	1.0	0.0
CN2_2b_CKDN200005067-1A_H5T7VDSXY_L1	9+:het:1Mb-10Mb	1.0	0.0
CN2_2b_CKDN200005067-1A_H5T7VDSXY_L1	9+:het:10Mb-40Mb	1.0	0.0
CN2_2b_CKDN200005067-1A_H5T7VDSXY_L1	9+:het:>40Mb	1.0	0.0
CN9R1_1_CKDN190048205-1A_HV3TFDSXX_L1	0:homdel:0-100kb	0.9922044132787124	0.00779558672128758
CN9R1_1_CKDN190048205-1A_HV3TFDSXX_L1	0:homdel:100kb-1Mb	0.9950893214737538	0.0049106785262462566
CN9R1_1_CKDN190048205-1A_HV3TFDSXX_L1	0:homdel:>1Mb	0.0010104932161093996	0.9989895067838906
