MutationsType	CNV48A	CNV48B	CNV48C
0:homdel:0-100kb	0.00009663	0.00136566	0.00121067
0:homdel:100kb-1Mb	0.00021534	0.00180197	0.00000023
0:homdel:>1Mb	0.00000001	0.00074744	0.01342701
1:LOH:0-100kb	0.02296172	0.03828787	0.00000001
1:LOH:100kb-1Mb	0.00977553	0.08163760	0.00000026
1:LOH:1Mb-10Mb	0.00472030	0.05512540	0.00820245
1:LOH:10Mb-40Mb	0.00000908	0.01160488	0.02036888
1:LOH:>40Mb	0.00000001	0.00132661	0.01770287
2:LOH:0-100kb	0.00774853	0.03304604	0.00114827
2:LOH:100kb-1Mb	0.02853854	0.11762920	0.00314895
2:LOH:1Mb-10Mb	0.00676306	0.18831436	0.01690584
2:LOH:10Mb-40Mb	0.00224413	0.04428858	0.02074748
2:LOH:>40Mb	0.00789302	0.01113294	0.01847592
3-4:LOH:0-100kb	0.02418031	0.03170504	0.02201020
3-4:LOH:100kb-1Mb	0.12785097	0.08369366	0.07091047
3-4:LOH:1Mb-10Mb	0.21980918	0.07325562	0.04414204
3-4:LOH:10Mb-40Mb	0.03261783	0.00303732	0.02186819
3-4:LOH:>40Mb	0.01371346	0.00145850	0.00438038
5-8:LOH:0-100kb	0.03064562	0.00936292	0.01559938
5-8:LOH:100kb-1Mb	0.06845836	0.04884469	0.04184548
5-8:LOH:1Mb-10Mb	0.04540661	0.00332673	0.03254525
5-8:LOH:10Mb-40Mb	0.00753945	0.00154960	0.00816991
5-8:LOH:>40Mb	0.00092622	0.00000005	0.00036461
9+:LOH:0-100kb	0.01457270	0.00215833	0.00000003
9+:LOH:100kb-1Mb	0.03379510	0.00102714	0.00000005
9+:LOH:1Mb-10Mb	0.00355985	0.00006068	0.00000026
9+:LOH:10Mb-40Mb	0.00000016	0.00000014	0.00000055
9+:LOH:>40Mb	0.00000016	0.00000014	0.00000055
2:het:0-100kb	0.00008762	0.00264245	0.00000021
2:het:100kb-1Mb	0.00000005	0.03573626	0.00105833
2:het:1Mb-10Mb	0.00084988	0.05564141	0.01125859
2:het:10Mb-40Mb	0.00022697	0.00341941	0.02781583
2:het:>40Mb	0.00000001	0.00135707	0.01221873
3-4:het:0-100kb	0.00699434	0.00251166	0.00495259
3-4:het:100kb-1Mb	0.07274105	0.01625317	0.01941407
3-4:het:1Mb-10Mb	0.04769124	0.01759182	0.12852910
3-4:het:10Mb-40Mb	0.00001246	0.00130514	0.10007505
3-4:het:>40Mb	0.00151153	0.00015671	0.04699534
5-8:het:0-100kb	0.00631220	0.00000001	0.00685814
5-8:het:100kb-1Mb	0.03915113	0.00313365	0.09030410
5-8:het:1Mb-10Mb	0.08675302	0.01259843	0.10468647
5-8:het:10Mb-40Mb	0.01549466	0.00079607	0.04534621
5-8:het:>40Mb	0.00361838	0.00000000	0.01358602
9+:het:0-100kb	0.00000016	0.00000014	0.00000055
9+:het:100kb-1Mb	0.00278946	0.00106729	0.00287613
9+:het:1Mb-10Mb	0.00127350	0.00000004	0.00064279
9+:het:10Mb-40Mb	0.00045032	0.00000008	0.00020502
9+:het:>40Mb	0.00000016	0.00000014	0.00000055
