MutationType	SBSCNVA	SBSCNVB	SBSCNVC
0:homdel:0-100kb	0.0006313434763728765	8.019155373517605e-08	3.776172363814112e-07
0:homdel:100kb-1Mb	0.0011179181370897027	5.6117069107131104e-08	3.1530636195498117e-07
0:homdel:>1Mb	4.4678002733888886e-08	1.3384477779254666e-07	0.003620161800570486
1:LOH:0-100kb	0.030594385366886852	0.020709410446695983	8.797158255191562e-10
1:LOH:100kb-1Mb	0.03087810616195202	0.012649878389202058	0.00022954218221535295
1:LOH:1Mb-10Mb	0.011782835448160767	0.008835208270233125	0.010213411762056694
1:LOH:10Mb-40Mb	0.0019766871090069814	2.7595698048205718e-05	0.014421841021627187
1:LOH:>40Mb	9.074948646770053e-09	1.0589747780187509e-07	0.015519052492166337
2:LOH:0-100kb	0.019385496800765394	0.006451889469522319	0.0010553364078001379
2:LOH:100kb-1Mb	0.07234025666117669	0.021018514875788243	0.006026224099468106
2:LOH:1Mb-10Mb	0.09304285889863968	0.004312219041915746	0.02391770227776658
2:LOH:10Mb-40Mb	0.02172714759595692	1.2054997212032626e-08	0.023540792951360346
2:LOH:>40Mb	0.013199046856723726	0.0019918770214965276	0.015827729850196193
3-4:LOH:0-100kb	0.027695003695786	0.0228600105792284	0.01955208581406623
3-4:LOH:100kb-1Mb	0.12338127841055394	0.10703197871148586	0.07411798098683357
3-4:LOH:1Mb-10Mb	0.20379825347661973	0.14461978583037854	0.03559440387971699
3-4:LOH:10Mb-40Mb	0.023720442406833173	0.026567110408097505	0.02748452298156917
3-4:LOH:>40Mb	0.008771433226764202	0.013867356121540069	0.0045886973555951905
5-8:LOH:0-100kb	0.02042842781916261	0.033885966880247	0.016772222098428755
5-8:LOH:100kb-1Mb	0.06669447480142117	0.05831748783588409	0.04672773343324661
5-8:LOH:1Mb-10Mb	0.016627008951734752	0.0677855686917901	0.034230584722012285
5-8:LOH:10Mb-40Mb	0.004789024694589898	0.00896746232405664	0.005268853672207768
5-8:LOH:>40Mb	1.8425462457116738e-08	0.0024010070445145857	3.317133217990431e-07
9+:LOH:0-100kb	0.006003190312400015	0.02114685541484505	3.2769799904741603e-09
9+:LOH:100kb-1Mb	0.012290858664084225	0.05007879973948002	2.0407114220688526e-10
9+:LOH:1Mb-10Mb	0.0021876569379082867	0.003634434359670621	1.1684296757152879e-07
9+:LOH:10Mb-40Mb	1.4184847961473679e-07	1.6327880422295492e-07	5.411235495103028e-07
9+:LOH:>40Mb	1.4184847961473679e-07	1.6327880422295492e-07	5.411235495103028e-07
2:het:0-100kb	0.0010978360432503961	5.759394291260378e-08	3.088750286792674e-07
2:het:100kb-1Mb	0.011545937166549265	1.670442496148894e-08	0.0009693901325997842
2:het:1Mb-10Mb	0.016676014766097067	0.0014527010223931284	0.007543077424165858
2:het:10Mb-40Mb	0.0009899174545403326	0.00015245164926003696	0.01420589315937832
2:het:>40Mb	1.8027390947139564e-08	1.0309943203878902e-07	0.008794337022547666
3-4:het:0-100kb	0.004330220382681255	0.008673363730628054	0.0014515352062506484
3-4:het:100kb-1Mb	0.0517780751734972	0.07140065285563468	0.0162710515311137
3-4:het:1Mb-10Mb	0.05459583887457847	0.019100081786513328	0.11794985434412956
3-4:het:10Mb-40Mb	0.0005419725957271915	2.5708571591565034e-09	0.10449064710736275
3-4:het:>40Mb	0.001769224979914874	6.216873868446937e-06	0.052043927501887084
5-8:het:0-100kb	0.0021640418396309544	0.009604474770124	0.009094711501384155
5-8:het:100kb-1Mb	0.014331486493349076	0.05812950723990798	0.10263610048592091
5-8:het:1Mb-10Mb	0.022325570360835493	0.15081876723468304	0.11369638818502426
5-8:het:10Mb-40Mb	0.003046768991629051	0.02796904704719782	0.05056239371374249
5-8:het:>40Mb	0.0005737037831384271	0.006568569392813046	0.01787235368437541
9+:het:0-100kb	1.4184847961473679e-07	1.6327880422295492e-07	5.411235495103028e-07
9+:het:100kb-1Mb	0.0011695275169254274	0.004311742176712556	0.003705110768871805
9+:het:1Mb-10Mb	7.2941272293292055e-09	0.0034997635579787525	2.927559872318852e-07
9+:het:10Mb-40Mb	5.596252424311388e-08	0.0011510147356391088	4.295913781504623e-07
9+:het:>40Mb	1.4184847961473679e-07	1.6327880422295492e-07	5.411235495103028e-07
