MutationType	SBSCNVA	SBSCNVB	SBSCNVC
0:homdel:0-100kb	2.74E-05	3.33E-09	6.58E-09
0:homdel:100kb-1Mb	3.73E-05	3.04E-09	6.26E-09
0:homdel:>1Mb	2.56E-09	4.63E-09	1.21E-04
1:LOH:0-100kb	1.91E-04	2.45E-04	3.24E-10
1:LOH:100kb-1Mb	1.94E-04	1.84E-04	4.06E-05
1:LOH:1Mb-10Mb	1.24E-04	1.53E-04	2.04E-04
1:LOH:10Mb-40Mb	4.86E-05	9.01E-06	2.36E-04
1:LOH:>40Mb	1.21E-09	4.68E-09	2.32E-04
2:LOH:0-100kb	1.52E-04	1.43E-04	7.14E-05
2:LOH:100kb-1Mb	2.96E-04	2.56E-04	2.37E-04
2:LOH:1Mb-10Mb	3.53E-04	1.12E-04	3.37E-04
2:LOH:10Mb-40Mb	1.69E-04	1.80E-09	3.08E-04
2:LOH:>40Mb	1.30E-04	8.44E-05	2.37E-04
3-4:LOH:0-100kb	1.86E-04	2.53E-04	2.76E-04
3-4:LOH:100kb-1Mb	3.87E-04	5.76E-04	5.51E-04
3-4:LOH:1Mb-10Mb	4.92E-04	7.10E-04	4.66E-04
3-4:LOH:10Mb-40Mb	1.76E-04	2.82E-04	3.26E-04
3-4:LOH:>40Mb	1.02E-04	2.00E-04	1.55E-04
5-8:LOH:0-100kb	1.66E-04	3.08E-04	2.67E-04
5-8:LOH:100kb-1Mb	2.86E-04	4.34E-04	4.10E-04
5-8:LOH:1Mb-10Mb	1.81E-04	4.45E-04	3.40E-04
5-8:LOH:10Mb-40Mb	8.15E-05	1.57E-04	1.54E-04
5-8:LOH:>40Mb	2.11E-09	7.51E-05	1.03E-08
9+:LOH:0-100kb	9.22E-05	2.43E-04	1.01E-09
9+:LOH:100kb-1Mb	1.46E-04	3.63E-04	2.04E-10
9+:LOH:1Mb-10Mb	4.97E-05	9.62E-05	5.24E-09
9+:LOH:10Mb-40Mb	1.77E-10	6.11E-11	6.84E-10
9+:LOH:>40Mb	1.77E-10	6.11E-11	6.84E-10
2:het:0-100kb	3.49E-05	3.03E-09	6.46E-09
2:het:100kb-1Mb	1.29E-04	1.72E-09	6.78E-05
2:het:1Mb-10Mb	1.44E-04	6.04E-05	1.83E-04
2:het:10Mb-40Mb	3.94E-05	2.56E-05	2.25E-04
2:het:>40Mb	1.64E-09	4.91E-09	1.85E-04
3-4:het:0-100kb	9.32E-05	1.86E-04	7.10E-05
3-4:het:100kb-1Mb	2.68E-04	4.55E-04	2.91E-04
3-4:het:1Mb-10Mb	2.69E-04	2.30E-04	6.22E-04
3-4:het:10Mb-40Mb	3.88E-05	7.19E-10	6.62E-04
3-4:het:>40Mb	6.03E-05	3.64E-06	4.38E-04
5-8:het:0-100kb	5.83E-05	1.58E-04	1.92E-04
5-8:het:100kb-1Mb	1.74E-04	4.04E-04	6.35E-04
5-8:het:1Mb-10Mb	2.69E-04	6.64E-04	6.08E-04
5-8:het:10Mb-40Mb	9.28E-05	2.69E-04	4.40E-04
5-8:het:>40Mb	3.77E-05	1.36E-04	2.49E-04
9+:het:0-100kb	1.77E-10	6.11E-11	6.84E-10
9+:het:100kb-1Mb	4.23E-05	1.07E-04	1.16E-04
9+:het:1Mb-10Mb	1.38E-09	9.70E-05	1.04E-08
9+:het:10Mb-40Mb	3.09E-09	5.45E-05	8.79E-09
9+:het:>40Mb	1.77E-10	6.11E-11	6.84E-10
