NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	100.423	26.832	24.891	24.09	0.087	0.952	20000.0
2	92.353	24.187	22.616	20.89	0.073	0.966	20000.0
3	95.163	24.892	23.178	22.393	0.084	0.958	20000.0
4	112.305	29.749	30.589	27.333	0.096	0.943	20000.0
5	99.963	27.241	26.027	24.223	0.085	0.953	20000.0
6	97.545	26.716	25.863	24.261	0.084	0.953	20000.0
7	98.66	27.065	25.931	24.383	0.082	0.952	20000.0
8	85.027	22.717	22.35	20.341	0.073	0.969	20000.0
9	102.476	28.21	25.556	24.402	0.089	0.952	20000.0
10	97.237	24.567	25.264	22.092	0.075	0.965	20000.0
11	94.932	26.302	23.809	23.962	0.085	0.951	30000.0
12	88.619	23.269	22.474	19.954	0.069	0.97	20000.0
13	91.478	24.804	24.487	22.959	0.077	0.958	20000.0
14	106.685	28.399	27.347	24.61	0.093	0.956	20000.0
15	94.266	25.432	25.121	22.933	0.077	0.959	20000.0
16	99.528	26.809	25.575	23.927	0.08	0.955	20000.0
17	105.593	28.734	27.144	25.883	0.094	0.945	20000.0
18	89.2	24.504	20.706	20.625	0.077	0.964	20000.0
19	92.68	24.858	24.365	22.104	0.077	0.963	20000.0
20	92.765	24.157	25.646	22.157	0.071	0.964	20000.0
21	98.436	26.263	26.563	24.514	0.084	0.95	20000.0
22	103.012	27.526	25.933	24.508	0.078	0.953	20000.0
23	96.819	24.846	25.646	22.333	0.082	0.963	20000.0
24	93.084	25.589	23.472	22.994	0.081	0.953	20000.0
25	98.382	24.381	25.579	21.693	0.074	0.966	20000.0
26	84.237	23.656	21.486	20.875	0.077	0.964	20000.0
27	95.28	24.955	27.073	23.384	0.078	0.962	20000.0
28	93.511	24.801	25.323	23.689	0.083	0.955	20000.0
29	100.802	25.139	25.566	22.217	0.071	0.964	20000.0
30	87.171	24.445	22.147	21.201	0.079	0.963	20000.0
31	96.86	24.18	25.157	20.992	0.074	0.97	20000.0
32	92.754	26.571	23.262	22.846	0.087	0.956	20000.0
33	92.499	24.758	23.791	23.046	0.086	0.957	20000.0
34	99.668	26.733	25.645	23.769	0.087	0.954	20000.0
35	94.425	25.329	23.268	22.347	0.081	0.959	20000.0
36	87.132	23.827	21.842	20.872	0.074	0.963	20000.0
37	92.496	25.477	23.681	23.185	0.077	0.957	20000.0
38	101.277	25.519	27.606	23.535	0.076	0.96	20000.0
39	101.578	25.84	26.083	23.425	0.081	0.956	20000.0
40	99.706	27.287	28.59	26.322	0.085	0.944	20000.0
41	93.808	26.504	26.351	24.96	0.082	0.95	20000.0
42	96.466	25.579	25.19	24.038	0.083	0.953	20000.0
43	106.403	27.853	28.573	25.721	0.09	0.949	20000.0
44	105.958	29.513	27.182	25.917	0.103	0.946	20000.0
45	97.092	26.121	25.263	24.276	0.077	0.952	20000.0
46	104.759	26.393	27.397	24.476	0.079	0.954	20000.0
47	104.177	28.074	28.26	25.405	0.091	0.948	20000.0
48	87.253	24.325	23.385	22.25	0.076	0.959	20000.0
49	90.533	25.35	23.919	22.863	0.081	0.957	20000.0
50	96.273	26.572	25.436	24.386	0.084	0.95	20000.0
51	107.799	29.022	28.545	26.836	0.094	0.945	20000.0
52	96.573	23.726	25.968	21.446	0.071	0.967	20000.0
53	95.55	25.724	23.728	22.149	0.084	0.962	20000.0
54	86.801	24.518	22.204	21.338	0.076	0.962	30000.0
55	107.952	29.722	27.016	26.014	0.095	0.945	20000.0
56	98.843	25.692	25.827	23.171	0.079	0.958	20000.0
57	85.22	22.221	22.808	19.789	0.067	0.972	20000.0
58	106.972	29.075	29.177	27.101	0.094	0.942	20000.0
59	87.839	24.28	22.509	20.652	0.079	0.968	20000.0
