MutationsType	CNV48A	CNV48B
0:homdel:0-100kb	0.00047672	0.00000346
0:homdel:100kb-1Mb	0.00084876	0.00000387
0:homdel:>1Mb	0.00000271	0.00247688
1:LOH:0-100kb	0.03076531	0.00003879
1:LOH:100kb-1Mb	0.02794738	0.00029581
1:LOH:1Mb-10Mb	0.01112079	0.00963188
1:LOH:10Mb-40Mb	0.00149688	0.00996670
1:LOH:>40Mb	0.00001440	0.01066588
2:LOH:0-100kb	0.01696288	0.00090643
2:LOH:100kb-1Mb	0.06242011	0.00448149
2:LOH:1Mb-10Mb	0.07227828	0.01592902
2:LOH:10Mb-40Mb	0.01646909	0.01620113
2:LOH:>40Mb	0.01041866	0.01161108
3-4:LOH:0-100kb	0.02709544	0.01912196
3-4:LOH:100kb-1Mb	0.12315784	0.07472085
3-4:LOH:1Mb-10Mb	0.20171538	0.03877825
3-4:LOH:10Mb-40Mb	0.02414424	0.02795828
3-4:LOH:>40Mb	0.00989514	0.00775080
5-8:LOH:0-100kb	0.02377798	0.02170646
5-8:LOH:100kb-1Mb	0.06600578	0.04688353
5-8:LOH:1Mb-10Mb	0.02435496	0.05662891
5-8:LOH:10Mb-40Mb	0.00560676	0.00682092
5-8:LOH:>40Mb	0.00008811	0.00207952
9+:LOH:0-100kb	0.01010209	0.00501254
9+:LOH:100kb-1Mb	0.02293450	0.01071911
9+:LOH:1Mb-10Mb	0.00261773	0.00087469
9+:LOH:10Mb-40Mb	0.00000014	0.00000045
9+:LOH:>40Mb	0.00000014	0.00000045
2:het:0-100kb	0.00083006	0.00000019
2:het:100kb-1Mb	0.00879593	0.00054875
2:het:1Mb-10Mb	0.01322660	0.00509429
2:het:10Mb-40Mb	0.00069183	0.01008869
2:het:>40Mb	0.00000270	0.00603172
3-4:het:0-100kb	0.00602093	0.00212986
3-4:het:100kb-1Mb	0.05958274	0.02515159
3-4:het:1Mb-10Mb	0.04535377	0.08882352
3-4:het:10Mb-40Mb	0.00078699	0.07102835
3-4:het:>40Mb	0.00133989	0.03575051
5-8:het:0-100kb	0.00289835	0.01204859
5-8:het:100kb-1Mb	0.01846303	0.10581770
5-8:het:1Mb-10Mb	0.04030060	0.15950600
5-8:het:10Mb-40Mb	0.00596661	0.05163693
5-8:het:>40Mb	0.00129154	0.01621284
9+:het:0-100kb	0.00000014	0.00000045
9+:het:100kb-1Mb	0.00156508	0.00485706
9+:het:1Mb-10Mb	0.00013021	0.00299557
9+:het:10Mb-40Mb	0.00003471	0.00100779
9+:het:>40Mb	0.00000014	0.00000045
