# Using amp_thresh=0.10, del_thresh=0.10
Sample	Low	High
TCGA-HC-8260-01A-11D-2259-01	-0.292000	0.213000
TCGA-H9-A6BY-01A-11D-A30D-01	-0.207000	0.100000
TCGA-HC-A6AL-01A-11D-A30D-01	-0.782000	0.770000
TCGA-HC-8258-01A-11D-2259-01	-0.100000	0.100000
TCGA-ZG-A9L1-01A-11D-A41J-01	-0.858000	1.178000
TCGA-VP-A87C-01A-11D-A34T-01	-0.491000	0.100000
TCGA-2A-AAYF-01A-11D-A41J-01	-0.895000	0.100000
TCGA-EJ-A65B-01A-12D-A30D-01	-0.353000	0.100000
TCGA-ZG-A9L2-01A-31D-A41J-01	-0.519000	0.202000
TCGA-ZG-A9LY-01A-11D-A41J-01	-0.512000	0.497000
TCGA-EJ-5519-01A-01D-1574-01	-0.740000	0.100000
TCGA-KK-A7AZ-01A-12D-A32A-01	-1.022000	0.926000
TCGA-EJ-7325-01B-11D-A32A-01	-0.953000	0.100000
TCGA-H9-A6BX-01A-31D-A30W-01	-0.100000	0.100000
TCGA-EJ-A46I-01A-12D-A26L-01	-0.100000	0.100000
TCGA-J9-A52B-01A-11D-A26L-01	-1.157000	0.100000
TCGA-HC-7211-01A-11D-2112-01	-0.791000	0.100000
TCGA-HC-A6AQ-01A-11D-A30D-01	-0.333000	0.100000
TCGA-XK-AAJT-01A-11D-A41J-01	-0.687000	1.064000
TCGA-EJ-5502-01A-01D-1574-01	-0.100000	0.100000
TCGA-KK-A6DY-01A-12D-A30W-01	-0.528000	0.461000
TCGA-HC-7821-01A-12D-2112-01	-0.967000	0.816000
TCGA-KC-A4BR-01A-32D-A256-01	-0.214000	0.100000
TCGA-XK-AAJR-01A-11D-A41J-01	-0.525000	0.100000
TCGA-J4-A67T-01A-11D-A30W-01	-0.100000	0.100000
TCGA-G9-6348-01A-11D-1785-01	-0.472000	0.100000
TCGA-2A-A8VV-01A-11D-A376-01	-0.348000	0.234000
TCGA-CH-5739-01A-11D-1574-01	-0.764000	0.721000
TCGA-HC-7738-01A-11D-2112-01	-0.100000	0.100000
TCGA-XJ-A9DI-01A-11D-A376-01	-0.244000	0.245000
TCGA-EJ-7792-01A-11D-2112-01	-0.100000	1.020000
TCGA-YL-A8SR-01B-11D-A376-01	-0.793000	0.413000
TCGA-XK-AAIV-01A-11D-A41J-01	-0.395000	0.955000
TCGA-VN-A88L-01A-11D-A34T-01	-0.100000	0.100000
TCGA-G9-6356-01A-11D-1785-01	-0.335000	0.303000
TCGA-EJ-A46F-01A-31D-A256-01	-0.953000	0.829000
TCGA-KK-A7AU-01A-11D-A32A-01	-0.977000	0.864000
TCGA-QU-A6IL-01A-11D-A31K-01	-0.877000	1.469000
TCGA-V1-A9ZG-01A-11D-A41J-01	-0.100000	0.100000
TCGA-KK-A7B1-01A-11D-A32A-01	-0.281000	0.100000
TCGA-XK-AAIW-01A-11D-A41J-01	-0.928000	0.100000
TCGA-HC-7078-01A-11D-2112-01	-0.787000	1.352000
TCGA-XJ-A9DX-01A-11D-A376-01	-0.860000	0.480000
TCGA-ZG-A9LZ-01A-11D-A41J-01	-0.877000	0.746000
TCGA-QU-A6IP-01A-11D-A31K-01	-0.100000	0.100000
TCGA-G9-7510-01A-11D-2259-01	-0.303000	0.306000
TCGA-HI-7171-01A-12D-2112-01	-1.007000	0.567000
TCGA-FC-7708-01A-11D-2112-01	-0.420000	0.100000
TCGA-ZG-A9ND-01A-11D-A41J-01	-1.393000	0.841000
TCGA-YL-A8SB-01A-31D-A376-01	-0.496000	0.614000
TCGA-EJ-7312-01B-21D-A32A-01	-0.825000	0.100000
TCGA-YL-A8SJ-01B-11D-A376-01	-0.752000	0.100000
TCGA-TK-A8OK-01A-22D-A363-01	-0.555000	0.551000
TCGA-EJ-AB20-01A-12D-A41J-01	-0.100000	0.713000
TCGA-HC-7817-01B-11D-A323-01	-0.331000	0.100000
TCGA-V1-A8MG-01A-11D-A363-01	-0.584000	1.200000
TCGA-V1-A8MJ-01A-11D-A363-01	-0.346000	0.310000
TCGA-HC-7750-01A-11D-2112-01	-0.100000	0.100000
