sample	segment_count	included
TCGA-HC-8257-01A-11D-2259-01	262	yes
TCGA-EJ-7789-01A-11D-2112-01	542	yes
TCGA-KK-A59X-01A-11D-A323-01	753	yes
TCGA-CH-5788-01A-11D-1574-01	556	yes
TCGA-XK-AAJA-01A-11D-A41J-01	1136	yes
TCGA-EJ-8469-01A-11D-2391-01	249	yes
TCGA-HC-A48F-01A-11D-A256-01	249	yes
TCGA-WW-A8ZI-01A-11D-A376-01	172	yes
TCGA-CH-5740-01A-11D-1574-01	129	yes
TCGA-M7-A724-01A-12D-A32A-01	740	yes
TCGA-HC-7742-01A-11D-2112-01	107	yes
TCGA-2A-A8W1-01A-11D-A376-01	366	yes
TCGA-CH-5791-01A-11D-1574-01	255	yes
TCGA-CH-5741-01A-11D-1574-01	96	yes
TCGA-XJ-A83F-01A-11D-A34T-01	221	yes
TCGA-CH-5789-01A-11D-1574-01	46	yes
TCGA-YJ-A8SW-01A-11D-A376-01	1473	yes
TCGA-CH-5754-01A-11D-1574-01	177	yes
TCGA-EJ-5525-01A-01D-1574-01	166	yes
TCGA-J4-A67N-01A-11D-A30D-01	232	yes
TCGA-XJ-A9DX-01A-11D-A376-01	1409	yes
TCGA-HC-7080-01A-11D-1959-01	1075	yes
