# Using amp_thresh=0.10, del_thresh=0.10
Sample	Low	High
TCGA-EJ-5516-01A-01D-1574-01	-0.461000	0.100000
TCGA-HI-7168-01A-11D-2112-01	-0.701000	0.419000
TCGA-M7-A71Z-01A-12D-A32A-01	-0.998000	0.100000
TCGA-FC-A4JI-01A-11D-A256-01	-0.604000	1.401000
TCGA-ZG-A9L0-01A-11D-A41J-01	-0.655000	0.504000
TCGA-HC-7750-01A-11D-2112-01	-0.100000	0.100000
TCGA-ZG-A9N3-01A-11D-A41J-01	-0.911000	3.141000
TCGA-HC-7212-01A-11D-2112-01	-0.798000	0.202000
TCGA-HC-7740-01A-11D-2112-01	-0.315000	0.100000
TCGA-VP-A87D-01A-11D-A34T-01	-0.856000	0.824000
TCGA-ZG-A9KY-01A-11D-A41J-01	-0.415000	0.744000
TCGA-ZG-A9LZ-01A-11D-A41J-01	-0.877000	0.746000
TCGA-VP-A875-01A-31D-A34T-01	-0.706000	0.687000
TCGA-HC-7744-01A-11D-2112-01	-0.290000	0.100000
TCGA-CH-5761-01A-11D-1574-01	-0.771000	1.905000
TCGA-HC-8216-01A-11D-A323-01	-0.565000	0.850000
TCGA-HC-7736-01A-11D-2112-01	-0.651000	0.100000
TCGA-CH-5766-01A-11D-1574-01	-0.957000	0.265000
TCGA-ZG-A9L9-01A-11D-A41J-01	-0.840000	0.705000
TCGA-HC-7747-01A-11D-2112-01	-0.100000	0.100000
TCGA-EJ-5514-01A-01D-1574-01	-0.668000	0.440000
TCGA-HC-7749-01A-11D-2112-01	-0.698000	0.100000
TCGA-EJ-8472-01A-11D-2391-01	-0.810000	0.679000
TCGA-CH-5751-01A-11D-1574-01	-0.778000	1.656000
TCGA-J9-A8CL-01A-11D-A34T-01	-0.902000	0.787000
TCGA-XQ-A8TA-01A-11D-A363-01	-1.069000	0.928000
TCGA-HC-7821-01A-12D-2112-01	-0.967000	0.816000
TCGA-HC-7738-01A-11D-2112-01	-0.100000	0.100000
TCGA-KK-A8ID-01A-11D-A363-01	-0.100000	0.592000
TCGA-HC-7745-01A-11D-2112-01	-0.439000	0.587000
TCGA-KK-A7B4-01A-11D-A32A-01	-0.782000	0.653000
TCGA-KK-A6E4-01A-11D-A30D-01	-0.920000	0.100000
