NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	201.209	50.607	49.862	44.074	0.251	0.84	20000.0
2	192.769	47.14	51.881	43.355	0.221	0.856	20000.0
3	186.289	50.785	48.882	48.969	0.268	0.793	20000.0
4	193.557	49.108	48.672	44.142	0.239	0.846	20000.0
5	197.537	47.478	50.65	42.812	0.227	0.852	20000.0
6	192.501	54.908	47.967	49.602	0.309	0.774	20000.0
7	179.006	48.435	48.744	47.197	0.251	0.825	20000.0
8	198.134	47.565	49.214	41.869	0.22	0.865	20000.0
9	190.67	51.762	51.578	49.812	0.281	0.799	20000.0
10	184.925	48.675	47.814	44.935	0.255	0.832	20000.0
11	191.58	52.462	49.553	47.997	0.277	0.814	20000.0
12	186.831	51.689	49.208	49.078	0.281	0.795	20000.0
13	185.692	50.684	48.493	47.494	0.27	0.816	20000.0
14	182.629	48.799	49.698	47.324	0.245	0.823	20000.0
15	191.442	49.074	48.955	46.19	0.247	0.83	20000.0
16	196.056	48.458	52.175	45.215	0.236	0.842	20000.0
17	187.602	51.136	48.772	47.54	0.273	0.818	20000.0
18	194.46	47.843	50.215	43.346	0.225	0.852	20000.0
19	195.57	46.427	48.748	41.18	0.213	0.865	20000.0
20	201.391	49.516	51.128	44.523	0.243	0.845	20000.0
21	185.978	51.023	49.358	47.634	0.267	0.813	20000.0
22	193.331	47.371	49.33	42.146	0.224	0.861	20000.0
23	199.957	49.516	51.311	44.656	0.241	0.841	20000.0
24	206.525	50.715	53.4	44.789	0.242	0.843	20000.0
25	182.685	50.03	48.819	47.048	0.259	0.819	20000.0
26	195.468	47.327	49.358	42.814	0.229	0.852	20000.0
27	182.62	46.571	47.007	42.418	0.233	0.855	20000.0
28	179.64	48.678	45.746	45.406	0.248	0.833	20000.0
29	191.78	50.174	50.209	47.063	0.262	0.822	20000.0
30	188.927	52.352	49.678	49.813	0.285	0.793	20000.0
31	196.954	48.341	50.877	43.732	0.234	0.851	20000.0
32	182.681	49.632	46.454	45.9	0.252	0.829	20000.0
33	199.577	49.214	52.368	45.696	0.237	0.829	40000.0
34	196.653	48.35	50.42	43.81	0.225	0.846	20000.0
35	194.365	48.715	51.635	45.587	0.248	0.836	20000.0
36	195.489	47.129	49.262	42.059	0.221	0.86	20000.0
37	201.887	54.361	52.303	50.987	0.285	0.787	20000.0
38	200.33	49.372	52.623	44.819	0.244	0.843	20000.0
39	196.517	52.121	52.054	50.748	0.277	0.797	30000.0
40	194.88	48.58	50.08	43.54	0.238	0.848	20000.0
41	199.377	54.407	51.567	50.005	0.284	0.791	20000.0
42	179.758	50.563	45.458	47.663	0.275	0.804	20000.0
43	192.203	47.51	53.404	46.287	0.236	0.833	20000.0
44	189.59	51.2	49.555	47.936	0.265	0.819	20000.0
45	185.036	49.383	48.615	47.172	0.248	0.82	20000.0
46	193.2	47.969	50.567	44.414	0.231	0.848	20000.0
47	194.504	52.103	50.704	49.471	0.273	0.808	30000.0
48	181.657	48.444	47.199	45.535	0.246	0.839	20000.0
49	193.26	49.456	50.722	45.647	0.245	0.841	20000.0
50	180.457	49.171	48.302	47.67	0.265	0.812	20000.0
51	184.05	47.393	46.718	42.135	0.23	0.853	30000.0
52	201.071	50.958	52.893	46.745	0.252	0.831	20000.0
53	181.695	47.705	46.8	44.252	0.236	0.843	20000.0
54	189.7	46.924	49.294	42.341	0.221	0.862	20000.0
55	189.125	47.626	48.319	43.424	0.222	0.853	20000.0
56	206.598	50.873	53.39	44.97	0.259	0.843	20000.0
57	195.36	53.269	50.27	49.825	0.281	0.795	20000.0
58	190.775	45.168	51.386	41.688	0.215	0.861	20000.0
59	185.836	50.261	50.031	48.37	0.262	0.814	20000.0
60	185.853	45.052	48.775	41.164	0.209	0.866	20000.0
61	189.901	48.747	49.365	45.44	0.24	0.831	20000.0
62	188.557	47.008	48.389	42.733	0.22	0.861	20000.0
63	196.513	49.798	49.96	45.396	0.245	0.83	20000.0
64	193.603	51.684	52.646	49.596	0.261	0.8	20000.0
65	191.712	49.804	50.083	45.844	0.247	0.831	20000.0
66	198.701	52.844	51.771	49.932	0.28	0.797	20000.0
67	194.417	53.866	49.474	48.854	0.29	0.795	20000.0
68	186.956	47.937	47.81	43.795	0.236	0.849	20000.0
69	182.277	48.352	49.264	46.755	0.252	0.828	20000.0
70	189.928	47.286	49.819	43.033	0.224	0.856	20000.0
71	189.623	46.986	48.655	41.65	0.214	0.866	20000.0
72	199.552	48.242	50.35	43.553	0.232	0.847	20000.0
73	189.989	47.108	49.256	42.302	0.224	0.862	20000.0
74	179.626	49.921	46.962	47.581	0.264	0.814	20000.0
75	188.863	47.313	47.139	41.966	0.222	0.86	20000.0
76	198.171	48.325	51.36	43.422	0.232	0.852	20000.0
77	193.916	48.609	51.161	44.08	0.231	0.846	20000.0
78	188.948	48.031	49.525	45.103	0.239	0.838	20000.0
79	188.983	50.426	50.177	47.749	0.254	0.823	20000.0
80	192.252	50.997	48.833	46.412	0.265	0.82	20000.0
81	193.286	47.671	50.687	44.138	0.229	0.846	20000.0
82	196.466	46.316	49.149	41.381	0.215	0.865	20000.0
83	194.113	48.109	50.802	43.467	0.239	0.852	20000.0
84	191.106	49.934	48.753	46.433	0.253	0.826	20000.0
85	197.589	47.679	49.591	41.903	0.224	0.863	20000.0
86	188.129	48.448	49.194	44.935	0.247	0.84	20000.0
87	186.67	50.813	50.511	48.387	0.263	0.806	30000.0
88	199.382	51.14	51.482	45.288	0.25	0.837	20000.0
89	201.278	50.091	50.734	44.277	0.232	0.847	20000.0
90	194.02	48.109	49.693	43.056	0.231	0.853	20000.0
91	213.548	51.866	53.124	46.004	0.254	0.829	20000.0
92	191.865	50.89	52.091	48.982	0.262	0.81	20000.0
93	202.206	50.66	52.808	45.222	0.234	0.842	20000.0
94	192.163	45.283	49.212	41.237	0.208	0.868	30000.0
95	194.578	49.373	50.58	45.209	0.249	0.837	20000.0
96	195.779	47.216	52.062	42.954	0.223	0.859	20000.0
97	193.188	47.088	48.077	41.564	0.226	0.856	20000.0
98	196.234	50.743	52.057	46.6	0.257	0.827	20000.0
99	191.747	47.991	52.127	43.742	0.237	0.854	20000.0
100	188.267	48.214	49.994	44.987	0.245	0.838	20000.0
101	194.496	46.846	50.774	42.885	0.215	0.857	20000.0
102	200.792	49.535	52.828	44.883	0.241	0.839	20000.0
103	201.278	50.113	53.503	46.717	0.25	0.824	20000.0
104	202.011	50.354	53.574	46.396	0.251	0.833	20000.0
105	193.662	49.301	50.671	45.861	0.25	0.831	20000.0
106	207.067	56.881	51.947	51.555	0.309	0.751	20000.0
107	183.81	50.059	49.229	48.264	0.258	0.819	20000.0
108	188.457	46.834	49.366	42.587	0.223	0.857	20000.0
109	194.759	51.83	51.964	48.683	0.265	0.81	20000.0
110	192.364	51.008	50.399	46.749	0.259	0.825	20000.0
111	195.715	50.879	50.542	47.088	0.258	0.824	20000.0
112	188.41	47.269	49.176	43.784	0.235	0.847	20000.0
113	210.124	50.105	54.201	44.518	0.24	0.841	20000.0
114	191.544	50.909	52.147	48.762	0.266	0.809	20000.0
115	177.454	48.278	47.203	45.864	0.246	0.822	20000.0
116	196.582	48.194	52.334	44.653	0.236	0.844	20000.0
117	199.76	52.533	51.354	49.062	0.272	0.811	20000.0
118	203.862	49.31	50.784	43.721	0.232	0.853	20000.0
119	193.104	51.478	51.713	47.995	0.267	0.814	20000.0
120	188.448	46.321	49.156	43.207	0.214	0.85	20000.0
121	190.926	46.772	49.284	42.147	0.217	0.865	20000.0
122	195.941	46.791	50.713	42.933	0.22	0.853	20000.0
123	192.25	50.659	53.475	49.805	0.255	0.806	20000.0
124	194.058	44.764	48.959	40.577	0.207	0.874	20000.0
125	190.432	48.599	51.02	46.798	0.245	0.829	20000.0
126	199.144	46.778	49.362	40.858	0.215	0.869	20000.0
127	188.052	50.135	51.043	47.189	0.267	0.82	20000.0
128	185.295	44.306	48.54	40.479	0.195	0.876	20000.0
129	182.179	49.456	48.708	47.914	0.263	0.81	20000.0
130	182.837	48.718	49.079	46.718	0.251	0.825	20000.0
131	194.852	51.95	50.276	49.108	0.276	0.804	20000.0
132	188.059	49.859	50.6	46.968	0.257	0.825	20000.0
133	193.223	51.488	50.103	47.867	0.263	0.814	20000.0
134	192.48	48.371	49.395	42.995	0.226	0.855	20000.0
135	189.424	51.43	49.884	48.613	0.275	0.805	20000.0
136	190.656	47.045	49.003	42.289	0.236	0.858	20000.0
137	186.772	46.83	50.384	43.528	0.229	0.848	20000.0
138	203.418	49.386	52.275	44.559	0.235	0.84	30000.0
139	193.254	51.365	49.491	49.172	0.265	0.808	20000.0
140	191.697	51.758	51.007	50.333	0.274	0.794	20000.0
