NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	149.01	37.454	35.954	33.115	0.156	0.91	20000.0
2	152.82	35.013	38.366	31.005	0.128	0.926	20000.0
3	150.163	39.271	35.46	33.938	0.177	0.903	20000.0
4	160.564	39.73	42.35	36.464	0.157	0.9	20000.0
5	155.058	36.685	41.209	34.11	0.14	0.91	20000.0
6	147.14	37.642	38.289	33.883	0.155	0.911	20000.0
7	153.692	37.004	38.825	33.263	0.141	0.914	20000.0
8	152.624	38.212	37.466	32.84	0.158	0.916	20000.0
9	152.347	37.606	37.997	33.083	0.147	0.918	20000.0
10	149.757	35.769	38.824	32.779	0.136	0.92	20000.0
11	152.083	37.144	39.28	34.693	0.149	0.904	20000.0
12	149.588	35.611	38.441	31.48	0.129	0.926	20000.0
13	151.907	39.525	38.493	35.348	0.162	0.901	20000.0
14	161.52	37.716	41.15	33.079	0.143	0.92	20000.0
15	157.728	38.23	41.845	35.693	0.146	0.905	30000.0
16	152.141	36.021	38.582	32.768	0.132	0.917	20000.0
17	161.294	39.1	41.567	35.559	0.152	0.902	20000.0
18	145.434	37.546	33.785	32.14	0.159	0.909	20000.0
19	149.021	36.297	37.788	32.547	0.147	0.921	30000.0
20	150.355	36.018	38.583	32.328	0.129	0.928	20000.0
21	150.144	39.154	39.434	36.088	0.167	0.896	20000.0
22	156.811	39.985	39.974	36.428	0.174	0.891	20000.0
23	156.947	36.946	40.373	32.841	0.145	0.919	30000.0
24	159.184	36.561	42.02	33.864	0.135	0.912	20000.0
25	158.727	37.397	40.498	33.468	0.142	0.917	20000.0
26	142.903	36.023	35.647	31.739	0.141	0.922	20000.0
27	156.97	36.264	40.758	33.034	0.137	0.92	20000.0
28	153.632	36.434	39.855	33.912	0.146	0.913	30000.0
29	150.967	37.589	36.978	32.955	0.145	0.915	20000.0
30	146.551	35.696	37.052	32.0	0.14	0.919	20000.0
31	152.582	35.097	37.436	29.993	0.131	0.937	20000.0
32	150.638	36.216	37.901	31.781	0.14	0.923	20000.0
33	154.127	39.95	37.557	34.701	0.17	0.902	20000.0
34	155.07	39.439	38.785	35.254	0.159	0.899	20000.0
35	152.261	36.362	37.639	32.294	0.142	0.916	20000.0
36	150.503	39.19	36.619	34.322	0.162	0.897	20000.0
37	147.235	37.657	36.664	33.158	0.151	0.914	20000.0
38	157.785	34.43	43.299	32.438	0.125	0.926	20000.0
39	158.199	39.705	39.933	35.3	0.161	0.901	20000.0
40	159.452	37.061	41.38	33.979	0.135	0.913	20000.0
41	152.082	38.794	38.782	34.332	0.159	0.907	20000.0
42	154.151	37.227	39.911	34.336	0.148	0.905	20000.0
43	160.438	40.024	41.864	36.877	0.172	0.894	30000.0
44	165.905	40.427	41.53	35.806	0.17	0.899	20000.0
45	155.698	36.491	39.07	33.317	0.139	0.914	20000.0
46	160.843	37.85	40.011	34.122	0.14	0.914	20000.0
47	158.052	40.052	41.0	35.752	0.165	0.901	20000.0
48	139.452	35.056	36.377	32.603	0.13	0.918	20000.0
49	154.71	41.179	40.311	37.249	0.173	0.892	20000.0
50	153.627	40.175	39.293	36.392	0.185	0.886	20000.0
51	163.737	39.701	41.465	35.818	0.155	0.906	20000.0
52	152.264	38.169	39.536	34.294	0.157	0.913	20000.0
53	152.405	39.457	37.488	34.556	0.169	0.899	20000.0
54	147.4	38.104	37.349	34.009	0.155	0.906	20000.0
55	153.741	38.288	38.99	34.145	0.151	0.906	20000.0
56	154.088	39.993	39.262	35.323	0.168	0.899	20000.0
57	143.306	35.574	36.28	31.56	0.136	0.927	20000.0
58	156.688	38.334	40.201	35.557	0.151	0.903	20000.0
59	138.367	36.644	33.446	30.766	0.167	0.921	20000.0
60	147.411	38.082	37.521	34.694	0.172	0.902	20000.0
61	147.084	35.547	36.971	31.663	0.138	0.918	20000.0
62	152.781	36.061	39.382	33.831	0.134	0.913	20000.0
63	152.181	38.734	36.603	34.143	0.16	0.903	20000.0
64	155.508	36.62	38.049	32.401	0.136	0.918	20000.0
65	152.856	39.485	40.547	36.552	0.169	0.893	20000.0
66	146.516	36.645	37.55	33.444	0.145	0.912	20000.0
67	157.783	36.861	40.939	33.831	0.137	0.908	20000.0
68	153.538	35.652	40.247	33.355	0.126	0.916	20000.0
69	157.425	37.535	40.084	34.004	0.152	0.913	20000.0
70	154.51	36.206	38.572	31.896	0.145	0.916	20000.0
71	156.576	40.012	40.475	36.14	0.165	0.89	20000.0
72	168.985	37.418	44.301	34.27	0.141	0.913	20000.0
73	150.584	37.653	37.415	33.373	0.156	0.909	20000.0
74	142.002	35.155	37.048	31.98	0.146	0.92	20000.0
75	154.573	35.949	40.321	33.531	0.142	0.915	20000.0
76	161.906	34.11	42.729	30.531	0.123	0.933	20000.0
77	139.358	36.67	33.997	31.919	0.16	0.913	20000.0
78	150.778	34.418	38.756	31.081	0.131	0.929	20000.0
79	150.797	38.927	37.576	34.31	0.157	0.91	20000.0
80	148.103	36.422	37.197	32.657	0.152	0.916	30000.0
81	155.343	34.703	39.02	30.957	0.126	0.931	20000.0
82	143.871	37.825	35.134	33.093	0.152	0.909	20000.0
83	151.746	38.545	39.752	35.479	0.162	0.902	30000.0
84	142.033	37.74	33.434	32.567	0.166	0.912	20000.0
85	166.572	37.446	43.764	34.603	0.135	0.913	20000.0
86	147.084	37.497	37.788	33.913	0.153	0.908	20000.0
87	153.493	38.296	40.762	35.36	0.146	0.909	20000.0
88	158.965	38.879	41.314	34.634	0.154	0.915	20000.0
89	156.544	35.137	40.431	31.894	0.124	0.926	20000.0
90	156.316	39.277	40.535	36.953	0.157	0.885	20000.0
91	156.435	38.602	39.521	34.653	0.148	0.909	20000.0
92	146.517	35.002	36.675	32.065	0.138	0.919	20000.0
93	158.046	38.847	40.561	36.118	0.155	0.901	20000.0
94	151.869	35.579	37.949	32.614	0.146	0.916	20000.0
95	147.003	34.461	37.601	31.029	0.125	0.931	20000.0
96	148.224	33.257	37.296	29.705	0.12	0.934	20000.0
97	155.144	36.897	38.534	32.72	0.14	0.917	20000.0
98	150.096	35.823	37.909	32.365	0.137	0.918	20000.0
99	153.237	40.188	37.903	35.377	0.176	0.895	20000.0
100	150.405	39.295	37.173	34.336	0.171	0.904	20000.0
101	146.551	35.139	35.93	30.777	0.136	0.927	20000.0
102	162.313	41.205	39.605	35.938	0.19	0.894	20000.0
103	168.134	38.921	42.381	34.787	0.152	0.909	20000.0
104	152.381	36.381	38.146	31.682	0.137	0.923	20000.0
105	148.246	38.893	36.004	33.469	0.163	0.905	20000.0
106	147.695	38.139	37.276	34.45	0.166	0.902	20000.0
107	153.455	37.373	40.116	35.023	0.138	0.908	20000.0
108	163.082	35.649	42.636	33.102	0.128	0.921	20000.0
109	152.219	35.945	37.061	31.677	0.14	0.918	20000.0
110	148.535	35.209	38.511	32.704	0.129	0.922	20000.0
111	145.37	38.508	36.413	34.026	0.171	0.9	20000.0
112	149.519	33.628	39.378	30.298	0.119	0.934	20000.0
113	147.484	34.739	38.75	31.487	0.129	0.927	20000.0
114	155.231	40.418	39.624	36.187	0.174	0.892	20000.0
115	148.073	35.932	37.777	32.14	0.137	0.917	20000.0
116	143.26	38.768	35.88	34.598	0.166	0.897	20000.0
117	156.972	35.741	41.52	33.383	0.14	0.916	20000.0
118	155.261	34.503	40.822	31.785	0.131	0.928	20000.0
119	143.684	35.43	35.983	31.148	0.136	0.925	20000.0
120	149.192	37.784	38.927	34.036	0.156	0.906	20000.0
121	158.675	39.58	39.041	34.655	0.162	0.907	20000.0
122	147.933	38.269	36.556	34.557	0.17	0.896	20000.0
123	157.091	39.586	39.496	34.188	0.169	0.908	20000.0
124	148.466	33.985	39.434	32.017	0.131	0.924	20000.0
125	150.087	36.116	38.246	32.638	0.141	0.92	20000.0
126	155.212	34.629	41.913	32.368	0.132	0.921	20000.0
127	152.452	36.607	39.094	33.514	0.138	0.918	20000.0
128	155.288	37.207	40.041	33.419	0.145	0.917	20000.0
129	146.606	37.198	35.682	31.498	0.161	0.922	20000.0
130	145.571	37.063	37.24	33.8	0.148	0.904	20000.0
131	155.159	40.907	38.586	35.386	0.172	0.898	20000.0
132	150.682	35.504	39.238	33.07	0.132	0.912	20000.0
133	151.025	37.638	36.568	32.528	0.159	0.92	20000.0
134	143.38	34.983	34.843	30.712	0.128	0.925	20000.0
135	153.202	37.14	37.341	32.651	0.143	0.917	20000.0
136	147.894	37.62	38.045	34.215	0.159	0.908	20000.0
137	155.839	38.134	40.72	35.021	0.15	0.901	20000.0
138	148.225	36.528	36.707	33.636	0.148	0.904	20000.0
139	159.836	38.99	41.837	35.255	0.153	0.91	20000.0
140	157.134	37.809	40.932	35.012	0.146	0.906	30000.0
141	158.731	42.059	40.834	37.068	0.186	0.889	20000.0
142	146.632	37.281	34.801	32.663	0.155	0.914	20000.0
143	162.387	37.193	43.942	33.547	0.134	0.921	20000.0
144	150.154	36.264	38.386	32.947	0.144	0.917	20000.0
145	150.5	35.825	38.011	32.111	0.137	0.92	20000.0
146	151.678	36.637	38.964	33.107	0.144	0.916	30000.0
147	143.926	35.578	37.08	32.608	0.142	0.922	20000.0
148	151.706	36.362	40.734	34.162	0.139	0.912	20000.0
149	161.118	41.793	38.584	35.741	0.178	0.896	20000.0
150	142.962	36.17	36.544	32.003	0.155	0.922	20000.0
151	145.74	34.927	37.7	31.395	0.13	0.928	20000.0
152	146.526	36.673	37.883	33.587	0.143	0.908	20000.0
153	154.598	39.4	38.87	35.519	0.161	0.899	20000.0
154	147.37	37.911	38.213	33.857	0.155	0.908	30000.0
155	157.74	38.346	40.591	35.54	0.145	0.899	20000.0
156	140.399	37.122	34.673	32.683	0.158	0.912	20000.0
157	146.909	37.57	36.869	33.928	0.161	0.906	20000.0
158	150.019	37.468	39.933	35.623	0.145	0.899	20000.0
159	154.209	37.86	40.015	34.812	0.156	0.901	20000.0
160	148.715	38.27	35.77	32.837	0.161	0.911	20000.0
161	161.617	37.829	41.321	33.295	0.148	0.915	20000.0
162	148.966	35.526	37.834	32.137	0.134	0.923	20000.0
163	149.033	36.13	37.652	32.139	0.145	0.921	20000.0
164	160.742	39.992	41.087	36.254	0.16	0.9	20000.0
165	156.408	40.267	41.042	36.79	0.176	0.894	20000.0
166	165.416	36.542	44.045	33.345	0.138	0.918	20000.0
167	156.6	37.073	41.242	34.451	0.143	0.91	20000.0
168	157.798	35.562	41.289	31.855	0.12	0.929	20000.0
169	141.56	37.203	37.001	33.543	0.152	0.907	30000.0
170	142.535	35.759	36.286	32.628	0.144	0.919	20000.0
171	152.278	38.224	37.615	33.958	0.16	0.911	20000.0
172	138.15	35.704	35.561	32.8	0.148	0.914	20000.0
173	137.395	35.665	33.95	31.194	0.146	0.921	20000.0
174	141.493	37.132	35.278	33.176	0.159	0.91	20000.0
175	154.44	38.951	39.303	35.783	0.158	0.895	20000.0
176	153.915	40.104	37.828	35.078	0.171	0.896	20000.0
177	155.531	36.854	38.228	31.974	0.138	0.923	20000.0
178	146.657	37.793	36.267	33.27	0.16	0.911	20000.0
179	144.206	36.994	35.818	32.79	0.151	0.914	20000.0
180	156.56	39.888	38.809	34.75	0.161	0.909	20000.0
181	150.622	35.594	37.148	31.665	0.136	0.927	20000.0
182	139.758	36.585	34.354	32.094	0.151	0.913	20000.0
183	152.628	33.668	40.214	30.759	0.133	0.929	20000.0
184	158.106	40.23	38.73	36.61	0.168	0.892	20000.0
185	160.182	37.835	40.014	34.525	0.143	0.908	20000.0
186	155.17	36.436	39.916	32.928	0.142	0.921	20000.0
187	148.242	36.168	38.245	34.189	0.136	0.91	20000.0
188	143.448	36.047	36.134	31.994	0.148	0.924	20000.0
189	161.72	39.357	40.956	36.08	0.161	0.894	20000.0
190	170.183	36.754	45.326	34.95	0.131	0.911	20000.0
191	154.287	38.249	39.653	34.869	0.155	0.906	20000.0
192	162.627	39.182	42.043	35.076	0.155	0.908	20000.0
193	152.236	32.37	39.652	30.032	0.118	0.934	20000.0
194	147.835	38.484	35.9	34.317	0.164	0.898	20000.0
195	152.118	36.316	38.088	32.463	0.141	0.921	20000.0
196	154.085	35.595	39.865	32.492	0.142	0.921	20000.0
197	151.476	40.897	37.188	35.33	0.181	0.892	20000.0
198	153.66	37.95	39.596	34.349	0.15	0.911	20000.0
199	141.415	34.919	36.08	31.606	0.132	0.917	20000.0
200	154.561	38.741	38.497	34.16	0.167	0.903	20000.0
201	169.333	37.827	45.267	35.227	0.146	0.908	20000.0
202	156.389	38.526	39.952	34.381	0.156	0.911	20000.0
203	148.708	34.624	38.06	31.974	0.127	0.922	20000.0
204	158.124	36.903	40.84	33.453	0.143	0.917	20000.0
205	161.761	37.897	41.129	33.99	0.145	0.914	20000.0
206	154.402	38.24	39.029	33.868	0.149	0.911	20000.0
207	147.32	35.219	38.454	32.463	0.139	0.921	20000.0
208	149.32	35.172	38.983	33.276	0.133	0.915	20000.0
209	158.598	35.669	39.806	31.58	0.129	0.923	20000.0
210	160.416	36.515	40.456	32.988	0.137	0.916	20000.0
