"","sample","group","silhouette_width","enrich_sig"
"1","141-64","1",0.936,"Sig3"
"2","915-5115648","1",0.958,"Sig3"
"3","915-5115327","1",0.953,"Sig3"
"4","915-1115245","1",0.925,"Sig3"
"5","909-WCMC0-2","1",0.917,"Sig3"
"6","TCGA-YJ-A8SW","1",0.987,"Sig3"
"7","TCGA-XJ-A9DX","1",0.987,"Sig3"
"8","TCGA-KK-A8ID","1",0.987,"Sig3"
"9","TCGA-KK-A5A1","1",0.987,"Sig3"
"10","TCGA-HC-8265","1",0.987,"Sig3"
"11","TCGA-EJ-A46G","1",0.987,"Sig3"
"12","915-6115396","1",0.958,"Sig3"
"13","915-6115322","1",0.958,"Sig3"
"14","915-6115285","1",0.958,"Sig3"
"15","915-5115615","1",0.958,"Sig3"
"16","915-5115613","1",0.958,"Sig3"
"17","915-5115548","1",0.958,"Sig3"
"18","915-5115406","1",0.953,"Sig3"
"19","915-5115195","1",0.952,"Sig3"
"20","915-5115152","1",0.952,"Sig3"
"21","915-1115284","1",0.909,"Sig3"
"22","915-1115265","1",0.925,"Sig3"
"23","915-1115161","1",0.865,"Sig3"
"24","554-45","1",0.917,"Sig3"
"25","554-15","1",0.904,"Sig3"
"26","141-75","1",0.586,"Sig3"
"27","141-68","1",0.936,"Sig3"
"28","141-49","1",0.865,"Sig3"
"29","141-58","1",0.936,"Sig3"
"30","141-36","2",0.978,"Sig1"
"31","909-WCMC10363","2",0.917,"Sig1"
"32","915-5115056","2",0.939,"Sig1"
"33","915-6115236","2",0.958,"Sig1"
"34","141-34","2",0.978,"Sig1"
"35","909-2746","2",0.917,"Sig1"
"36","141-88","2",0.692,"Sig1"
"37","TCGA-EJ-5516","2",0.881,"Sig1"
"38","TCGA-ZG-A9KY","2",0.987,"Sig1"
"39","TCGA-V1-A9OL","2",0.987,"Sig1"
"40","TCGA-HC-7752","2",0.987,"Sig1"
"41","TCGA-HC-7750","2",0.987,"Sig1"
"42","915-6115401","2",0.958,"Sig1"
"43","915-5115501","2",0.953,"Sig1"
"44","915-5115409","2",0.953,"Sig1"
"45","915-5115031","2",0.939,"Sig1"
"46","915-5115029","2",0.942,"Sig1"
"47","915-1115090","2",0.87,"Sig1"
"48","915-1115081","2",0.729,"Sig1"
"49","554-20","2",0.904,"Sig1"
"50","447-STID0000003036","2",0.889,"Sig1"
"51","447-09-5446","2",0.764,"Sig1"
"52","141-6","2",0.936,"Sig1"
"53","141-57","2",0.936,"Sig1"
"54","141-39","2",0.978,"Sig1"
"55","141-27","2",0.978,"Sig1"
"56","141-25","2",0.978,"Sig1"
"57","141-17","2",0.978,"Sig1"
"58","141-2","2",0.978,"Sig1"
"59","TCGA-HC-7747","3",0.987,"Sig2"
"60","TCGA-HC-7748","3",0.987,"Sig2"
"61","915-6115385","3",0.958,"Sig2"
"62","554-47","3",0.917,"Sig2"
"63","554-50","3",0.917,"Sig2"
"64","915-5115291","3",0.953,"Sig2"
"65","554-12","3",0.884,"Sig2"
"66","915-5115290","3",0.953,"Sig2"
"67","141-87","3",0.692,"Sig2"
"68","915-5115033","3",0.939,"Sig2"
"69","909-WCMC0-1","3",0.917,"Sig2"
"70","915-5115193","3",0.952,"Sig2"
"71","TCGA-FC-A4JI","3",0.987,"Sig2"
"72","915-1115303","3",0.909,"Sig2"
"73","909-WCMC0-3","3",0.917,"Sig2"
"74","CN_9_1_CKDN200002996-1A_H57L2DSXY_L1","3",0.958,"Sig2"
"75","141-79","3",0.702,"Sig2"
"76","915-6115403","3",0.958,"Sig2"
"77","915-1115264","3",0.925,"Sig2"
"78","915-6115388","3",0.958,"Sig2"
"79","915-1115308","3",0.909,"Sig2"
"80","915-6115392","3",0.958,"Sig2"
"81","554-37","3",0.917,"Sig2"
"82","141-62","3",0.936,"Sig2"
"83","TCGA-HC-7738","3",0.987,"Sig2"
"84","CN2_2b_CKDN200005067-1A_H5T7VDSXY_L1","3",0.958,"Sig2"
"85","915-5115073","3",0.939,"Sig2"
"86","554-49","3",0.917,"Sig2"
"87","554-38","3",0.917,"Sig2"
"88","554-17","3",0.904,"Sig2"
"89","554-33","3",0.917,"Sig2"
"90","TCGA-J9-A8CL","3",0.987,"Sig2"
"91","TCGA-HC-7749","3",0.987,"Sig2"
"92","TCGA-HC-7745","3",0.987,"Sig2"
"93","TCGA-HC-7744","3",0.987,"Sig2"
"94","TCGA-HC-7740","3",0.987,"Sig2"
"95","TCGA-HC-7736","3",0.987,"Sig2"
"96","CN_1_1_CKDN200002992-1A_H57L2DSXY_L1","3",0.958,"Sig2"
"97","CN9line7_1_CKDN210017619-1A_H23WLDSX3_L2","3",0.958,"Sig2"
"98","CN9R2_1_CKDN190048209-1A_HTC3FDSXX_L2","3",0.958,"Sig2"
"99","CN9R1_2_CKDN190048207-1A_HTC3FDSXX_L2","3",0.958,"Sig2"
"100","CN9R1_1_CKDN190048205-1A_HV3TFDSXX_L1","3",0.958,"Sig2"
"101","915-6115399","3",0.958,"Sig2"
"102","915-6115398","3",0.958,"Sig2"
"103","915-6115397","3",0.958,"Sig2"
"104","915-6115394","3",0.958,"Sig2"
"105","915-6115389","3",0.958,"Sig2"
"106","915-6115386","3",0.958,"Sig2"
"107","915-6115317","3",0.958,"Sig2"
"108","915-6115295","3",0.958,"Sig2"
"109","915-5115610","3",0.958,"Sig2"
"110","915-5115608","3",0.958,"Sig2"
"111","915-5115505","3",0.953,"Sig2"
"112","915-5115412","3",0.953,"Sig2"
"113","915-5115410","3",0.953,"Sig2"
"114","915-5115032","3",0.939,"Sig2"
"115","915-1115257","3",0.925,"Sig2"
"116","915-1115202","3",0.912,"Sig2"
"117","915-1115154","3",0.906,"Sig2"
"118","909-WCMC12728","3",0.917,"Sig2"
"119","554-56","3",0.917,"Sig2"
"120","554-54","3",0.917,"Sig2"
"121","554-48","3",0.917,"Sig2"
"122","554-44-2","3",0.917,"Sig2"
"123","554-44","3",0.917,"Sig2"
"124","554-39","3",0.917,"Sig2"
"125","554-36","3",0.917,"Sig2"
"126","554-34","3",0.917,"Sig2"
"127","554-16","3",0.904,"Sig2"
"128","554-14","3",0.904,"Sig2"
"129","141-86","3",0.716,"Sig2"
"130","141-84","3",0.718,"Sig2"
"131","141-83","3",0.659,"Sig2"
"132","141-78","3",0.454,"Sig2"
"133","141-67","3",0.936,"Sig2"
"134","141-61","3",0.936,"Sig2"
"135","141-60","3",0.936,"Sig2"
"136","141-4","3",0.978,"Sig2"
"137","141-23","3",0.978,"Sig2"
"138","141-26","3",0.978,"Sig2"
"139","141-56","4",0.936,"Sig2"
"140","TCGA-J9-A8CM","4",0.987,"Sig2"
"141","TCGA-EJ-A65F","4",0.987,"Sig2"
"142","TCGA-HC-7213","4",0.987,"Sig2"
"143","TCGA-KK-A59Z","4",0.987,"Sig2"
"144","TCGA-ZG-A9LY","4",0.987,"Sig2"
"145","TCGA-ZG-A9LB","4",0.987,"Sig2"
"146","TCGA-V1-A8WW","4",0.987,"Sig2"
"147","TCGA-KK-A7B4","4",0.987,"Sig2"
"148","TCGA-EJ-7115","4",0.97,"Sig2"
"149","TCGA-XQ-A8TB","4",0.987,"Sig2"
"150","915-6115014","4",0.958,"Sig2"
"151","909-WCMC4240","4",0.504,"Sig2"
"152","915-1115089","4",0.849,"Sig2"
"153","CN_6_1_CKDN200002994-1A_H57L2DSXY_L1","4",0.958,"Sig2"
"154","909-WCMC14","4",0.917,"Sig2"
"155","915-6115400","4",0.958,"Sig2"
"156","141-53","4",0.936,"Sig2"
"157","447-04-1243","4",0.925,"Sig2"
"158","TCGA-ZG-A9L9","4",0.987,"Sig2"
"159","909-WCMC7","4",0.504,"Sig2"
"160","TCGA-KK-A8IK","4",0.987,"Sig2"
"161","TCGA-G9-7521","4",0.987,"Sig2"
"162","TCGA-CH-5762","4",0.958,"Sig2"
"163","TCGA-4L-AA1F","4",0.958,"Sig2"
"164","909-21011","4",0.917,"Sig2"
"165","915-1115183","4",0.865,"Sig2"
"166","909-WCMC21016","4",0.6,"Sig2"
"167","554-4","4",0.917,"Sig2"
"168","915-5115276","4",0.953,"Sig2"
"169","141-16","4",0.961,"Sig2"
"170","554-46","4",0.917,"Sig2"
"171","554-44-1","4",0.917,"Sig2"
"172","915-1115157","4",0.906,"Sig2"
"173","554-35","4",0.917,"Sig2"
"174","915-5115197","4",0.952,"Sig2"
"175","909-WCMC10680","4",0.917,"Sig2"
"176","554-29","4",0.903,"Sig2"
"177","915-5115651","4",0.958,"Sig2"
"178","TCGA-YL-A8SQ","4",0.987,"Sig2"
"179","909-WCMC10361","4",0.917,"Sig2"
"180","915-5115027","4",0.917,"Sig2"
"181","TCGA-ZG-A9LZ","4",0.987,"Sig2"
"182","909-WCMC24290","4",0.662,"Sig2"
"183","TCGA-HC-A4ZV","4",0.987,"Sig2"
"184","TCGA-EJ-5514","4",0.899,"Sig2"
"185","915-5115612","4",0.958,"Sig2"
"186","915-5115194","4",0.952,"Sig2"
"187","915-5115034","4",0.939,"Sig2"
"188","141-63","4",0.936,"Sig2"
"189","909-WCMC0","4",0.917,"Sig2"
"190","915-6115124","4",0.958,"Sig2"
"191","447-00-1823","4",0.876,"Sig2"
"192","141-69","4",0.936,"Sig2"
"193","909-WCMC18248","4",0.917,"Sig2"
"194","915-6115395","4",0.958,"Sig2"
"195","915-6115383","4",0.958,"Sig2"
"196","915-6115013","4",0.958,"Sig2"
"197","915-5115611","4",0.958,"Sig2"
"198","915-5115260","4",0.953,"Sig2"
"199","915-1115200","4",0.865,"Sig2"
"200","909-WCMC15","4",0.917,"Sig2"
"201","554-58","4",0.917,"Sig2"
"202","554-40","4",0.917,"Sig2"
"203","554-13","4",0.884,"Sig2"
"204","141-35","4",0.978,"Sig2"
"205","141-52","4",0.936,"Sig2"
"206","915-6115286","4",0.958,"Sig2"
"207","909-21020","4",0.917,"Sig2"
"208","915-6115319","4",0.958,"Sig2"
"209","554-55","4",0.917,"Sig2"
"210","554-24","4",0.904,"Sig2"
"211","554-53","4",0.917,"Sig2"
"212","554-11","4",0.888,"Sig2"
"213","141-21","4",0.978,"Sig2"
"214","TCGA-ZG-A9NI","4",0.987,"Sig2"
"215","TCGA-ZG-A9N3","4",0.987,"Sig2"
"216","TCGA-ZG-A9M4","4",0.987,"Sig2"
"217","TCGA-ZG-A9LN","4",0.987,"Sig2"
"218","TCGA-ZG-A9L5","4",0.987,"Sig2"
"219","TCGA-ZG-A9L0","4",0.987,"Sig2"
"220","TCGA-ZG-A8QX","4",0.987,"Sig2"
"221","TCGA-YL-A9WH","4",0.987,"Sig2"
"222","TCGA-YL-A8S8","4",0.987,"Sig2"
"223","TCGA-XK-AAIV","4",0.987,"Sig2"
"224","TCGA-VP-A875","4",0.987,"Sig2"
"225","TCGA-V1-A8WV","4",0.987,"Sig2"
"226","TCGA-KK-A8I4","4",0.987,"Sig2"
"227","TCGA-J4-AATZ","4",0.987,"Sig2"
"228","TCGA-HC-A9TE","4",0.987,"Sig2"
"229","TCGA-HC-8216","4",0.987,"Sig2"
"230","TCGA-HC-7742","4",0.987,"Sig2"
"231","TCGA-G9-6499","4",0.987,"Sig2"
"232","TCGA-EJ-7784","4",0.987,"Sig2"
"233","TCGA-EJ-7783","4",0.987,"Sig2"
"234","TCGA-EJ-7123","4",0.97,"Sig2"
"235","TCGA-EJ-5495","4",0.322,"Sig2"
"236","TCGA-CH-5751","4",0.958,"Sig2"
"237","CN9line2_1_CKDN210017617-1A_H23WLDSX3_L2","4",0.958,"Sig2"
"238","915-6115381","4",0.958,"Sig2"
"239","915-6115323","4",0.958,"Sig2"
"240","915-6115120","4",0.958,"Sig2"
"241","915-6115012","4",0.958,"Sig2"
"242","915-5115614","4",0.958,"Sig2"
"243","915-5115609","4",0.958,"Sig2"
"244","915-5115408","4",0.953,"Sig2"
"245","915-5115407","4",0.953,"Sig2"
"246","915-5115405","4",0.953,"Sig2"
"247","915-5115359","4",0.953,"Sig2"
"248","915-5115254","4",0.953,"Sig2"
