cytoband	13q14.12	21q22.3	10q23.31	5q11.2	8p21.2	6q15	12p13.1	16q24.1	16q22.2	17p13.1	5q13.2	1p36.22	18q22.3	9p21.3	5q22.3	1p31.3	15q11.2	2q31.1	1q32.3	9p24.2	4q35.1	
q value	1.6041e-06	1.7041e-06	4.4389e-05	0.00032273	0.0019462	0.004504	0.017143	0.004504	0.010817	0.0649	0.019102	0.073487	0.073487	0.076951	0.086618	0.12241	0.15737	0.18872	0.2263	0.22615	0.24011	
residual q value	1.6041e-06	1.7041e-06	4.4389e-05	0.0019454	0.0019454	0.004504	0.017716	0.044647	0.066351	0.066351	0.070043	0.073487	0.073487	0.081634	0.10216	0.11842	0.16534	0.18872	0.23228	0.23228	0.25336	
wide peak boundaries	chr13:42850052-49224037	chr21:41455552-41680542	chr10:87857401-88589061	chr5:55922849-56458287	chr8:25403324-25430175	chr6:79703209-116250412	chr12:8097172-18264383	chr16:75655647-90338345	chr16:68445754-74437521	chr17:7601910-7710389	chr5:67196585-73454225	chr1:1-23783467	chr18:64102927-80373285	chr9:10610136-128247187	chr5:113014402-119333398	chr1:59131259-149906350	chr15:1-40933779	chr2:172727936-174403417	chr1:205552447-241497718	chr9:1-90588093	chr4:1-190214555	
genes in wide peak	RCBTB2	TMPRSS2	PTEN	IL6ST	GNRH1	hsa-mir-2113	hsa-mir-1244-3	AFG3L1P	AARS	ATP1B2	CCNB1	hsa-mir-664	CDH7	ABCA1	hsa-mir-1244-2	ABCA4	ACTC1	SP3	hsa-mir-664	ACO1	hsa-mir-1979	
	CPB2		RNLS	ANKRD55		AIM1	A2M	APRT	AP1G1	SHBG	CDK7	hsa-mir-3119-1	CYB5A	ACO1	CDO1	ACADM	APBA2	CIR1	ACTA1	PLIN2	ADD1	
	ESD		KLLN	FLJ31104		AMD1	A2MP1	GAS8-AS1	ZFHX3	TP53	FOXD1	hsa-mir-551a	GALR1	PLIN2	AP3S1	ADORA3	NBEAP1	RAPGEF4	ACTN2	ALDH1A1	ADH1A	
	MLNR					BCKDHB	ARHGDIB	CA5A	CALB2	WRAP53	GTF2H2	ABCA4	MBP	AK1	DMXL1	AGL	BUB1B	OLA1	PARP1	ALDH1B1	ADH1B	
	GTF2F2					PRDM1	ART4	CBFA2T3	CDH1	SAT2	TNPO1	ABL2	NFATC1	ALAD	KCNN2	AK4	CHRM5	ZAK	AGT	ANXA1	ADH1C	
	HTR2A					CCNC	CD69	CDH13	CDH3		MAP1B	ACADM	ZNF236	ALDH1A1	MCC	ALX3	CHRNA7	CDCA7	ARF1	ANXA2P2	ADH4	
	LCP1					CGA	CDKN1B	CDH15	DHODH		NAIP	ACTA1	CTDP1	ALDH1B1	PGGT1B	AMPD1	GABRA5	LINC01305	ATF3	NUDT2	ADH5	
	RB1					CNR1	CREBL2	COX4I1	NQO1		PIK3R1	ACTN2	SOCS6	ALDOB	ATG12	AMPD2	GABRB3	MLK7-AS1	AVPR1B	APBA1	ADH6	
	TPT1					COL10A1	PHC1	CYBA	HAS3		PMCHL2	ADAR	ZNF516	AMBP	TMED7	AMY1A	GABRG3	LOC100128905	C4BPA	AQP3	ADH7	
	SUCLA2					EPHA7	EMP1	DPEP1	HP		RAD17	ADORA1	TSHZ1	ANXA1	COMMD10	AMY1B	GCHFR	SP9	C4BPB	AQP7	ADRA2C	
	TSC22D1					FOXO3	EPS8	FANCA	HPR		SMN1	ADORA3	CD226	ANXA2P2	TRIM36	AMY1C	IPW		CAPN2	BAG1	AFM	
	ITM2B					FRK	ETV6	FOXF1	PSMD7		SMN2	PARP1	TXNL4A	NUDT2	FEM1C	AMY2A	IVD		CD34	KLF9	AFP	
	LPAR6					FYN	GPR19	FOXL1	ST3GAL2		TAF9	AGL	ADNP2	APBA1	SEMA6A	AMY2B	MEIS2		CENPF	CA9	AGA	
	FNDC3A					GABRR1	GRIN2B	FOXC2	SNTB2		SERF1A	AGT	RTTN	AQP3	YTHDC2	RHOC	TRPM1		LYST	CCIN	ALB	
	ZC3H13					GABRR2	GUCY2C	GALNS	TAT		CARTPT	AK2	KCNG2	AQP7	TSSK1B	ATP1A1	NDN		CHRM3	CD72	AMBN	
	LRCH1					GPR6	KLRB1	GAS8	TERF2		SMA4	AK4	SALL3	AUH	CCDC112	ATP5F1	OCA2		CR1	CDKN2A	ANK2	
	NUFIP1					GRIK2	KLRC1	GCSH	ZNF19		SMA5	ALDH9A1	CDH19	BAAT	LVRN	BCL9	PLCB2		CR1L	CDKN2B	SLC25A4	
	MED4					HDAC2	KLRC2	HSBP1	ZNF23		MRPS27	ALPL	TIMM21	BAG1	DTWD2	BRDT	RAD51		CR2	CKS2	ANXA2P1	
	DNAJC15					HTR1E	KLRC3	HSD17B2	DHX38		BDP1	ALX3	TMX3	KLF9	TICAM2	CAPZA1	RYR3		CTSE	CLTA	ANXA3	
	ENOX1					LAMA4	KLRD1	IRF8	IST1		MCCC2	AMPD1	ZNF407	C5	ARL14EPL	CASQ2	SCG5		CD55	CNTFR	ANXA5	
	NUDT15					MARCKS	LRP6	MAF	CHST4		SLC30A5	AMPD2	CNDP2	CA9	LINC00992	CD2	SNRPN		EIF2D	CTSL	APBB2	
	GPALPP1					ME1	M6PR	MC1R	NFAT5		CENPH	AMY1A	CCDC102B	CCIN	MIR1244-1	CD53	SPINT1		ELK4	CTSLP8	AREG	
	CYSLTR2					NT5E	MGP	MVD	WWP2		PTCD2	AMY1B	RBFA	TNFSF8	TMED7-TICAM2	CD58	SRP14		EPHX1	DAPK1	RHOH	
	SMIM2					PGM3	MGST1	CHMP1A	DDX19B		MRPS36	AMY1C	PQLC1	CD72	MIR1244-3	CHI3L2	THBS1		EPRS	DMRT1	ART3	
	RUBCNL					POU3F2	OLR1	PLCG2	PHLPP2		FCHO2	AMY2A	NETO1	CDK9	MIR1244-2	CLCA1	TJP1		ESRRG	S1PR3	ATOH1	
	COG3					PREP	PDE6H	RPL13	SF3B3		TMEM171	AMY2B	PARD6G	CDKN2A	HNCAT21	CNN3	UBE3A		GALNT2	ELAVL2	ATP5I	
	EPSTI1					REV3L	PRB1	SPG7	COG4		TMEM174	APCS	CNDP1	CDKN2B	MIR5706	COL11A1	MKRN3		GNG4	FANCG	NKX3-2	
	LINC00284					SIM1	PRB3	GAN	VPS4A		MARVELD2	APOA2	DSEL	CKS2	LOC101927059	CRYZ	PWAR5		GUK1	FOXD4	BMP3	
	LACC1					SMPD2	PRB4	SLC7A5	NOB1		ZNF366	FASLG	FAM69C	CLTA	LOC101927078	CSF1	HERC2		H3F3A	MLANA	BMPR1B	
	LINC00330					ELOVL4	PRH1	CDK10	NIP7		CCDC125	ARF1	CBLN2	CNTFR	LOC101927100	CTBS	SNURF		HLX	FXN	BST1	
	CCDC122					MAP3K7	PRH2	MBTPS1	HYDIN		LOC340090	RHOC	FBXO15	COL15A1	LOC101927190	CTH	AQR		HSD11B1	GALT	BTC	
	ERICH6B					NR2E1	PTPRO	TAF1C	CHTF8		LOC441081	ARNT	GTSCR1	SLC31A1	SEMA6A-AS1	CYP2J2	ARHGAP11A		IL10	GAS1	CAMK2D	
	SPERT					TPBG	PZP	USP10	TXNL4B		LOC647859	ASTN1	DOK6	SLC31A2	HRAT56	DBT	SLC12A6		IRF6	GCNT1	CASP3	
	LRRC63					TTK	MFAP5	VPS9D1	PDPR		GUSBP3	SERPINC1	LOC284241	CTSL	LOC102467217	GADD45A	RASGRP1		ITPKB	B4GALT1	CASP6	
	SLC25A30					DDO	KLRC4	KIAA0513	DDX19A		GTF2H2B	ATF3	ZADH2	CTSV	LOC102467223	DLSTP1	GPR176		KCNH1	GLDC	CCKAR	
	SIAH3					SNX3	YBX3	PIEZO1	ZNF821		GTF2H2C	RERE	SMIM21	CTSLP8	LOC102467224	DPYD	BAHD1		KCNK1	GNAQ	CCNA2	
	KCTD4					RNGTT	GPRC5A	ATP2C2	VAC14		SERF1B	ATP1A1	LINC00908	CYLC2	LOC102467225	DR1	FAN1		KCNK2	HNRNPK	CCNG2	
	SERP2					CD164	CLEC2B	CLEC3A	CMTR2		GTF2H2C_2	ATP1A2	LOC284294	DAPK1	LOC105379143	DRD5P2	GOLGA8A		LAMB3	DNAJA1	SCARB2	
	TUSC8					WISP3	KLRG1	MPHOSPH6	PDF		GUSBP9	ATP1A4	LOC339298	BRINP1		S1PR1	CYFIP1		LBR	IFNA1	CD38	
	TSC22D1-AS1					WASF1	KLRA1P	EMC8	TANGO6		OCLN	ATP1B1	ATP9B	ECM2		CELSR2	FAM189A1		LGALS8	IFNA2	LRBA	
	SNORA31					TBX18	STRAP	TUBB3	CYB5B		MIR4804	ATP2B4	LINC01538	LPAR1		EXTL2	NPAP1		MARK1	IFNA4	CDS1	
	LINC00462					FHL5	PRR4	PRDM7	PMFBP1		MIR4803	ATP5F1	LOC400655	S1PR3		F3	DKFZP434L187		CD46	IFNA5	CLGN	
