chromosome	start.pos	end.pos	Bf	N.BAF	sd.BAF	depth.ratio	N.ratio	sd.ratio	CNt	A	B	LPP
chr1	10109	13374254	0.395451347429955	12336	0.112020768919873	0.843346090756644	331855	0.314954608473255	5	3	2	-7.16906321885537
chr1	13374267	122074099	0.345878811597864	69087	0.104658604855976	0.848196734178735	2819707	0.303241776221577	5	3	2	-9.21591885745204
chr1	122098012	123399649	0.318815002498942	1811	0.146964700719263	1.12075729414999	20760	0.885308853878187	6	4	2	-6.7400457173213
chr1	123400279	125168904	0.397800953504292	4294	0.139714326975396	1.08306686652815	48121	0.792360727142053	5	3	2	-6.78403019697561
chr1	125169341	143200482	0.410033519997816	219	0.134091586769995	0.914710632650666	3288	0.501066036944456	5	3	2	-6.73726350056884
chr1	143200599	150665758	0.415287035940399	2001	0.123419833660679	0.839481111835817	115084	0.379525028052451	5	3	2	-6.93762008004268
chr1	150673330	248945932	0.498935942133594	56089	0.0995749892167169	0.864591093292673	2406056	0.362643413163487	5	3	2	-8.2615507708619
chr2	30827	86853538	0.498935959184077	52296	0.100609499926167	1.09350104798288	2035826	0.552881716989246	6	3	3	-6.73379599150492
chr2	86855556	88998043	0.484448641244513	1269	0.119249497585953	1.10621799709337	40644	0.55373743890847	6	3	3	-6.74399047575099
chr2	88998056	89003629	0.252563952496292	135	0.0633863599258902	0.993839644495368	277	0.454480602858833	4	3	1	-6.73484290961182
chr2	89006487	90204999	0.468138305552608	593	0.129659734942878	1.07766382468815	19608	0.490297602072079	6	3	3	-6.76951567551757
chr2	90209495	90213759	0.0538103282792286	31	0.0879957476978475	1.26663279577199	164	0.561521524411731	18	17	1	-6.74069328057869
chr2	90214417	93898784	0.34387771828503	2536	0.133642200265755	1.03574652265505	25461	0.530231683045807	6	4	2	-6.75775601474253
chr2	93912001	132363896	0.498914341374388	20695	0.103783790781821	1.05098620495976	858647	0.5251842902774	6	3	3	-6.84926097064493
chr2	132363930	242183443	0.498938211861929	57706	0.0996053922209935	1.05549550978817	2578431	0.520271581804744	6	3	3	-6.99229440565695
chr3	11956	75519130	0.329105209176415	46842	0.105213940901852	1.17117298634253	1963373	0.474367383868361	6	4	2	-7.6009437118041
chr3	75519176	75546342	0.131887642313746	83	0.0854167980308091	1.34386391553739	765	0.743014616205689	8	7	1	-6.73611554725555
chr3	75546672	90898997	0.343266689425811	10655	0.108598501013566	1.21348277354528	396849	0.49612637043678	7	5	2	-6.97696898144335
chr3	90900928	97336125	0.305933886088252	3354	0.116395201196794	1.14082481059712	106863	0.474523114578445	6	4	2	-6.80105414662081
chr3	97336883	114418122	0.498943499783983	13371	0.0712347761928065	1.12276994028907	482372	0.367354173519723	6	3	3	-6.7939678007946
chr3	114420954	114464765	0.34627201827066	36	0.123100655678885	1.11633635509817	1163	0.460138436513972	6	4	2	-6.73915531114896
chr3	114465768	125717776	0.494692182390496	6948	0.0700016234587899	1.10938294103753	316754	0.365579534088903	6	3	3	-6.75010745371062
chr3	125718113	125806195	0.498810077547682	512	0.103577576537555	1.09140526498282	3047	0.376903031656046	6	3	3	-6.73310891451585
chr3	125813638	125817408	0.131931101720377	13	0.11206608627193	1.31974827229324	135	0.610265574228958	8	7	1	-6.73479828830889
chr3	125818828	130017921	0.498914125369639	3284	0.0754192398733204	1.09797110105588	118615	0.370780475376065	6	3	3	-6.73383708179213
chr3	130027318	130027588	0.189022870299217	16	0.0690428610840155	1.05380678007577	23	0.123571281696351	11	9	2	-6.74287944345852
chr3	130028813	145927671	0.498939422761382	11065	0.0740195757597341	1.10720269957605	448270	0.366477774558804	6	3	3	-6.74800380696683
chr3	145928049	145932856	0.498037503663503	13	0.180908427040752	1.1402250251252	117	0.548945516760409	6	3	3	-6.73311874817398
chr3	145934371	169468505	0.49894312205385	13052	0.0723129989218448	1.12049861681807	656339	0.369404044290478	6	3	3	-6.80450366548697
chr3	169471972	169472680	0.0362759281677083	9	0.0781735959970572	1.23316485889906	21	0.243208581850465	20	19	1	-6.76105732339506
chr3	169473398	170673177	0.499065817619193	1298	0.0680329525762077	1.07997095204305	34647	0.347327508038942	6	3	3	-6.73379127777902
chr3	170673209	170673866	0.218386586509163	9	0.138369473190842	1.52377849614063	26	0.536866853569429	9	7	2	-6.73365919468209
chr3	170674119	174259014	0.498915325375569	2679	0.0703728684388245	1.07795728548531	102010	0.347764318578333	6	3	3	-6.73585787156344
chr3	174260558	174265120	0.224139123335104	11	0.163758358565296	0.981203940425516	120	0.365491390189319	9	7	2	-6.73840627101176
chr3	174265214	184501882	0.494653350372481	6246	0.070820645276894	1.05693322672228	288564	0.348397009481863	6	3	3	-6.78778066027964
chr3	184502671	184530435	0.498654812350656	52	0.123960734003396	1.05659271671005	832	0.426022457399793	6	3	3	-6.73319619190116
chr3	184544343	195478416	0.49893685166461	8884	0.0726752584789742	1.03517338758797	308608	0.332525100502416	6	3	3	-6.8941061123356
chr3	195478501	195505605	0.412245903174368	172	0.14216499186129	1.08470078448399	1269	0.404458946863789	5	3	2	-6.74025465026901
chr3	195505643	195760596	0.423567679893522	642	0.107489075046574	1.07411355838823	8293	0.408653359089989	7	4	3	-6.76065169900572
chr3	195762619	195780720	0.489275727122653	45	0.154439135146007	1.39960619180518	587	0.981896100192402	8	4	4	-6.73593776368931
chr3	195780823	195996786	0.498797643470398	422	0.101830690486971	1.10698556835418	6812	0.371412031636201	6	3	3	-6.73330495768152
chr3	195996787	197354032	0.494494448231971	1652	0.0761618487798939	1.04407978241657	39098	0.351417120251785	6	3	3	-6.74903189869517
chr3	197384441	198187600	0.498696654363321	293	0.132545582468993	1.14129196113313	22981	0.410175166824668	6	3	3	-6.73883145450095
chr4	12333	64486	0.384375086653558	69	0.149769853279646	0.879918936331263	962	0.391803410780483	5	3	2	-6.74012352572146
chr4	66544	530085	0.000883202197379307	195	0.0330358283224047	0.959016486600102	11201	0.434179401048558	5	5	0	-6.73778542530374
chr4	531271	661061	0.468567406062362	48	0.166377069766154	0.965281626022475	3174	0.454755709964482	6	3	3	-6.76003234888429
chr4	666052	4007488	0.000397382224225529	1369	0.0955596053992422	0.909021294851013	78414	0.429050237102899	5	5	0	-6.73321408765738
chr4	4013238	4019280	0.395003233127209	17	0.051083553241378	1.18496871199316	193	0.394487284822264	5	3	2	-6.74134811243675
chr4	4028450	29635510	0.00109778920368356	9128	0.0559364989442227	0.959653035240889	599440	0.442573344334612	5	5	0	-6.94665255765336
chr4	29646064	29646184	0.342358194032642	9	0.0259181403653889	1.69146946770026	11	0.246159334947546	20	13	7	-6.78748396742822
chr4	29646472	33378629	0.00089679826243183	1534	0.0193984802620231	0.988866017806884	87938	0.459422903285343	5	5	0	-6.80738747283018
chr4	33571426	33840394	0.0275032105941109	11	0.153175953489028	0.983252641209878	6339	0.438476118074929	5	5	0	-6.75462537536297
chr4	33901725	45012134	-0.000985951769967353	3766	0.033571115815048	0.95210038279195	264058	0.43364013952633	5	5	0	-6.8093989660733
chr4	45012813	45014432	0.45659609572853	89	0.0587805774207801	1.11645908839388	134	0.247270071299986	11	6	5	-6.73907481496945
chr4	45014460	49091321	0.00067970298321357	667	0.0534724364685365	0.961105576463606	96299	0.441260927625877	5	5	0	-6.77065012171408
chr4	49091325	49101202	0.473078719597052	245	0.113207677833743	1.22732624741552	2168	0.331415653764378	11	6	5	-6.76169992520362
chr4	49101244	49111347	0.364507121645875	270	0.101874539080139	1.07188028772342	2464	0.349031744147164	8	5	3	-6.74439384703557
chr4	49111375	49129351	0.352180071603687	358	0.121476945690094	1.26156506174598	3268	0.416930151578721	6	4	2	-6.74790098260738
chr4	49129360	49131975	0.462254281067802	36	0.139815547424409	1.97529433470648	426	0.487770208669067	13	7	6	-6.73325192931917
chr4	49132229	49138016	0.35166699879529	82	0.13237558514889	1.15452747376528	794	0.34516811974829	6	4	2	-6.74392018712295
chr4	49138085	49139429	0.447832222784867	24	0.143262750147099	0.808284646767699	121	0.228950557957347	9	5	4	-6.74096767553038
chr4	49139498	49155561	0.384398845024113	431	0.119592415602036	1.16495961939584	3339	0.353716254249953	8	5	3	-6.7402669627198
chr4	49155627	49320612	0.384291329935819	640	0.133433890154871	0.932565190378098	4261	0.356929394509606	5	3	2	-6.74222962169006
chr4	49320856	49626604	0.498718007742402	534	0.137239968998297	1.35269773816444	5011	0.505287455674336	8	4	4	-6.73681499023813
chr4	49626852	49657993	0.413484201210977	669	0.121783925619362	1.50375838648213	4719	0.372910323182981	10	6	4	-6.74494788898702
chr4	49709141	49744371	0.477839658625759	110	0.0961093361945297	0.99487388131021	845	0.423654178301126	6	3	3	-6.76576750491168
chr4	49750473	49972228	0.105049294777586	22	0.187983005587235	1.39157246472652	276	3.35643191727216	9	8	1	-6.73415284160653
chr4	50008956	51577776	0.363146629579544	110	0.149885306443203	1.34265017717228	1862	0.921304414098283	8	5	3	-6.74399226233683
chr4	51639549	69272149	0.000136189066637343	5160	0.0373009865252347	0.99025629283334	408379	0.461241080032922	5	5	0	-7.07013768827229
chr4	69272165	69274384	0.498814177287842	73	0.119700628599278	0.950454267711494	126	0.307037276367813	6	3	3	-6.73335823239994
chr4	69301487	69380076	0.0323384722685959	26	0.0965582805276769	1.18754709906603	1810	0.706143786903611	6	6	0	-6.79360048337166
chr4	69381352	69381682	0.411730094770327	24	0.0621899264875087	1.55566374986615	31	0.267600267611612	17	10	7	-6.7343288570248
chr4	69381823	69383676	0.498550777423959	28	0.116748876930574	0.768161832213597	94	0.354262551166508	4	2	2	-6.73314675420568
chr4	69385329	87710279	0.00163379944469388	4905	0.0397643102595118	0.955418163634632	434962	0.433239930225148	5	5	0	-6.8688139972113
chr4	87711548	87712513	0.00075855807597483	9	0.19172897537931	1.02417418990494	40	0.27331919444357	6	6	0	-6.73307474265591
chr4	87713102	109426605	0.00195165514781934	4542	0.0353478401158881	0.9659482102823	512428	0.443406445313646	5	5	0	-6.95997566762141
chr4	109466699	109597463	0.475769901375956	9	0.201444023104297	0.946181964379022	3122	0.409008581186958	6	3	3	-6.75123034128893
chr4	109717887	113757630	-0.00144593540938998	1399	0.0392676564162485	0.968729737222311	96115	0.435542951355678	5	5	0	-6.7872149807402
chr4	113758526	113924078	0.000486076128398238	9	0.198912110686549	0.969107414824099	3933	0.419143447079708	5	5	0	-6.73530202605959
chr4	113940938	118601263	-0.000761387314178519	1747	0.0107248129081114	0.984234640769289	110680	0.466487319465323	5	5	0	-6.85084904452602
chr4	118605026	118670638	0.221449073178256	34	0.103371800096828	0.933473412231869	1426	0.423893559351523	5	4	1	-6.75609013834697
chr4	118671408	131732202	7.14376653387916e-06	3207	0.0435797049056086	0.884739494711911	309718	0.39333692702429	5	5	0	-6.77422774935374
chr4	131732859	131751764	0.498377550131095	47	0.158812830916286	1.12036596075164	257	0.802315213711068	6	3	3	-6.73310452960387
chr4	131751981	143824621	0.00063903774833865	2528	0.0346235005181628	0.857671723750167	285881	0.378539926019059	5	5	0	-6.90634068508746
chr4	143848951	144127840	0.498441330330836	69	0.166692506522055	0.855857253755886	6381	0.395211096198142	4	2	2	-6.76064864967698
chr4	144128865	159453275	0.00143462738577457	2737	0.0549361336420413	0.829692378415315	364395	0.354925325863339	5	5	0	-7.29940086802702
chr4	159454280	165205430	0.00016711571988054	2105	0.0303271580807495	1.11769062283759	134099	0.581086066550575	6	6	0	-6.74035277450714
chr4	165213053	165235263	0.274515451780166	25	0.109685033922895	1.08128329745101	547	0.466306717836817	7	5	2	-6.74160954856921
chr4	165235274	177999821	-0.000549016294668608	4584	0.0364524539503092	1.14934623864564	300731	0.580075106635616	6	6	0	-6.79580695720884
chr4	178015315	189835825	0.307172975604395	11457	0.105695871197782	1.21402049345828	314389	0.496448901197329	7	5	2	-6.81941809368845
chr4	189836064	189849325	0.331177880447794	65	0.128532598379376	1.68700379941434	492	0.752709216203773	9	6	3	-6.73327566366944
chr4	189849414	190203842	0.316377103632549	452	0.133058483638168	1.19793874103922	7521	0.579317671533133	6	4	2	-6.74891290906171
chr5	15890	47066210	0.239137342805115	23662	0.0990004867168097	1.08993919491068	1294543	0.364261928582698	6	5	1	-7.02987306733521
chr5	47066230	47066379	0.339896964362676	18	0.029459621196576	2.82375673271231	24	0.246505368580748	3	2	1	-6.75744247755899
chr5	47074225	47307601	0.498655820146389	262	0.13756705677532	1.06103161924588	1935	0.669743770412103	6	3	3	-6.73333379238773
chr5	49591952	49676923	0.294434915542974	384	0.111530526366441	0.987531957394376	3410	0.281847230414154	7	5	2	-6.77718252293337
chr5	49677467	49922819	0.330717477566614	514	0.142407844125992	1.18079723794466	5169	1.01175117612278	6	4	2	-6.73422153474
chr5	49925382	49929984	0.135212615860511	30	0.14788401792831	1.74351730439735	140	1.74433308238777	15	13	2	-6.7332627242717
chr5	49930030	175918998	0.240059396092105	73654	0.0986896549138812	0.930590615624093	3434217	0.300357326612381	5	4	1	-7.21662708286201
chr5	175919146	176118639	0.498815735069107	234	0.107491822192002	0.908672129242428	4721	0.313895663623277	6	3	3	-6.77356892487101
chr5	176119548	181477761	0.237370054837212	3884	0.105516238547003	0.935382123016982	139882	0.31665943528422	5	4	1	-6.82682443493785
chr6	110300	31317919	0.346721724609873	25839	0.105772971785941	0.972782086115369	820081	0.361142199316458	5	3	2	-7.46272010528303
chr6	31317971	31318956	0.367426110922998	45	0.0634842142153894	1.29708841030844	72	0.179036924855346	11	7	4	-6.73833099568701
chr6	31319044	31319697	0.498970325926652	33	0.0841609433997706	0.552601820403587	47	0.16677550038919	4	2	2	-6.73419774003076
chr6	31319714	31322690	0.383263431102892	90	0.0897309642351612	1.05115162506613	161	0.295234470589434	8	5	3	-6.7398880391082
chr6	31322716	31329995	0.498715277245204	217	0.110633222557402	0.802477119489823	378	0.261818255367263	4	2	2	-6.73370237664844
chr6	31330076	31334434	0.289223468990793	183	0.108801547217285	1.08021065546732	281	0.423907251386837	7	5	2	-6.73384450494872
chr6	31334459	31335531	0.16269109474618	37	0.0925786411911776	0.691667542084573	60	0.251625725895035	6	5	1	-6.7369575114829
chr6	31335549	31336489	0.42056375499519	56	0.103844013889965	1.47365151460993	79	0.483985719382349	12	7	5	-6.73418323399502
chr6	31336507	32488562	0.325113006207601	2773	0.106010125152314	0.926052871043423	30776	0.370755820765245	6	4	2	-6.86972058224787
chr6	32488567	32489357	0.28592482590245	70	0.100599606089396	1.4291142919703	112	0.325499985667036	7	5	2	-6.7330997261109
chr6	32489378	32506115	0.411648102772633	454	0.11776894020095	1.01488165908659	813	0.402390887494514	5	3	2	-6.73923331157968
chr6	32506134	32511601	0.498616097479443	70	0.140313350155586	1.44372709722994	154	0.68352428518226	8	4	4	-6.73308843116275
chr6	32511613	32512781	0.492829858893585	110	0.13623389744239	0.653215886538239	171	0.131194880214234	4	2	2	-6.73517870155261
chr6	32512812	32517620	0.318020352414717	79	0.101832374625698	1.0777401452396	185	0.335772604701687	6	4	2	-6.74757505461037
chr6	32517633	32518038	0.117844402588388	34	0.159783791641397	0.652727749717162	45	0.185187311671292	8	7	1	-6.7391117556352
chr6	32518501	32518923	0.491451230568153	29	0.106610323532685	1.06091707823058	47	0.308444703407482	6	3	3	-6.73688734507352
chr6	32518936	32519707	0.493797131097433	60	0.133514360513305	0.615727087092378	83	0.0827095207648689	4	2	2	-6.73624432666261
chr6	32519738	32535273	0.298493106826879	603	0.106699785874217	0.936800454400309	1023	0.307939802008281	7	5	2	-6.75002391097988
chr6	32535294	32535994	0.386333407285264	55	0.10302611548234	1.4495833387019	72	0.401795307697775	13	8	5	-6.73378173548074
chr6	32536011	32552412	0.496691656028843	624	0.102961099113251	0.963544681312465	1139	0.323172225313834	6	3	3	-6.7351091422121
chr6	32552437	32580612	0.339925512291098	564	0.120517394854403	0.83244648986973	1258	0.351586208592198	6	4	2	-6.74454087722021
chr6	32580620	32582837	0.295781867658638	115	0.109459003885725	0.960782544993124	177	0.179426749929153	7	5	2	-6.7407610060095
chr6	32582902	32583171	0.282114073842902	26	0.0921428990544244	1.91807170352315	32	0.408935526851077	14	10	4	-6.73418579190631
chr6	32584171	32584696	0.467826978751166	30	0.129309199075384	0.792536740639282	42	0.159764840616854	13	7	6	-6.74908183397849
chr6	32584750	32584865	0.390030841190838	10	0.055579872455973	1.582857314765	13	0.125638114827611	18	11	7	-6.73552435634178
chr6	32584988	32585177	0.498607191471592	12	0.116437361233021	0.328017059745653	15	0.0568328375903529	2	1	1	-6.73354132718808
chr6	32585206	32590005	0.498703728166135	298	0.121126037868377	1.01708754193093	445	0.228337451550429	6	3	3	-6.73337226190825
chr6	32590024	32590493	0.482467886548691	35	0.0311100513358247	1.28721276843682	49	0.171134927075995	19	10	9	-6.78949617846185
chr6	32590508	32592837	0.470720992286697	68	0.0631208044355424	0.802763499503757	122	0.264243538955432	15	8	7	-6.76515442822004
chr6	32592868	32593106	0.327172956441201	14	0.0339103536978323	1.69897267262394	20	0.504846156868865	18	12	6	-6.75421687441308
chr6	32593122	32594179	0.498614708847394	51	0.129395366162447	0.656012925447135	79	0.146863914603038	4	2	2	-6.7334235424168
