chromosome	start.pos	end.pos	Bf	N.BAF	sd.BAF	depth.ratio	N.ratio	sd.ratio	CNt	A	B	LPP
chr1	10109	138156	0.498412127176796	75	0.184369568144143	0.599482709057401	2014	0.350929578903837	4	2	2	-6.77775499930017
chr1	181611	789752	0.0419184564268742	146	0.143517999411002	1.71002734392231	4693	2.21555322328333	16	15	1	-6.77258280196341
chr1	790186	853464	0.490069611851304	30	0.117230890166352	0.982624056648592	1741	0.294345657596237	6	3	3	-6.75148501487331
chr1	857343	973693	0.00692984940831387	175	0.145131996542324	0.951126422919348	3495	0.296622485710427	5	5	0	-6.73512016255239
chr1	973858	1068824	0.364925182688623	114	0.166440598737008	0.992235935581868	2886	0.346177895042581	5	3	2	-6.75962752514197
chr1	1068875	1293734	0.00361667369410246	432	0.130377429839549	0.947516954623211	7056	0.323793622112133	5	5	0	-6.73497741360901
chr1	1295028	1363749	0.337788843683678	108	0.131516625210728	0.941649083970142	2200	0.325355158367334	6	4	2	-6.75294348144899
chr1	1363880	1373007	0.0109558391723432	42	0.0836201695323158	1.00417307510641	288	0.348474213588052	5	5	0	-6.74333785339872
chr1	1373248	1427468	0.313925112616639	107	0.135826258605953	0.953683937125797	1637	0.271931060086577	6	4	2	-6.76456122526967
chr1	1430853	1992764	0.00787951139575899	583	0.16316802606771	0.924588654108551	16459	0.464682341196632	5	5	0	-6.73976399933849
chr1	1992967	2001596	0.372526454650008	28	0.0902891299333811	0.884566084278801	260	0.2777286510401	8	5	3	-6.75541779159685
chr1	2002428	2069153	0.00402271263719856	129	0.102501294541835	0.868128328268851	1963	0.271274041826538	4	4	0	-6.73956998322061
chr1	2069856	2125296	0.0244225401252766	96	0.166946153928156	0.866024652036767	1589	0.286359540489248	4	4	0	-6.74983404181388
chr1	2133900	2211079	0.343148047453535	81	0.115765723674056	0.894787617472838	2240	0.286460945947688	6	4	2	-6.77927709365822
chr1	2236553	2437267	0.0114984956438691	195	0.161714536053591	0.876908534220986	5786	0.335965227442528	5	5	0	-6.74927991287579
chr1	2437336	2655067	0.328971823350627	155	0.150943120264191	0.746643441902	6837	0.284600886136017	3	2	1	-6.82396080474431
chr1	2657785	2677785	0.0269328675737322	74	0.0891308447099633	3.89095900965827	448	10.9226221404795	20	19	1	-6.77294965486913
chr1	2680543	2683407	0.149032188728839	38	0.0986814926131176	1.29484567585344	202	1.23102255271555	20	17	3	-6.73447916230876
chr1	2683549	2688292	0.0577705937085771	56	0.153978506680252	0.678815274202217	378	0.583389988364913	15	14	1	-6.75295076245155
chr1	2690155	2695117	0.0305823672653606	26	0.0438275642103846	5.790515648647	191	6.9268895627431	20	19	1	-6.84856007214531
chr1	2695663	2697643	0.230255981662227	32	0.144893829317171	0.777052230335106	127	3.50800514651654	13	10	3	-6.73317345885304
chr1	2697741	2759586	0.303091445677581	82	0.161492261974086	0.34373274041556	461	3.75543362378562	10	7	3	-6.74121509323296
chr1	2773132	2973143	0.00434533010588639	213	0.128048302572332	0.751740701956005	5615	0.481871275907371	4	4	0	-6.73464503428338
chr1	2974150	3053900	0.355777516131056	225	0.123540464420393	0.713997254580411	2289	0.252070187605487	3	2	1	-6.78094123978555
chr1	3054576	3252187	0.0155341704055043	125	0.145747593572786	0.7349419384323	5370	0.345951559080762	4	4	0	-6.74400724747676
chr1	3252524	3323635	0.345179278926753	83	0.127746233626283	0.713082276837352	1926	0.251372956303135	3	2	1	-6.7631258630157
chr1	3324161	3999847	0.00367274371150772	648	0.163755612255738	0.748383342432889	18856	0.259273185292184	4	4	0	-6.74649600427954
chr1	4001295	4048345	0.281902236204673	113	0.101138197781891	0.775254369860045	1290	0.269801970889557	4	3	1	-6.79219321254575
chr1	4048447	4594558	0.00295911428495227	853	0.0995442090867887	0.742526649692547	14864	0.252843841645568	4	4	0	-6.74881676614949
chr1	4595913	4688501	0.0391057330091366	163	0.168846676773685	0.743154912877769	2576	0.273715861970003	4	4	0	-6.76718691360634
chr1	4689016	5298324	0.00371040283290214	679	0.121106412512331	0.758025923746275	16143	0.283199246148918	4	4	0	-6.73884836459591
chr1	5302232	5602827	0.325437168783342	169	0.1518381194734	0.770095012073823	7763	0.2485081140058	4	3	1	-6.87855629678797
chr1	5602842	5816908	0.00336254369489186	276	0.113946298980631	0.787584921862224	5758	0.26432764009374	4	4	0	-6.73358591034621
chr1	5816919	5829858	0.300872858656412	21	0.125118191741896	0.823160548784527	386	0.384476531818626	7	5	2	-6.75551436169252
chr1	5832118	5850941	0.0177651806375273	19	0.122102416028513	0.847521988315704	543	0.243634312720508	4	4	0	-6.74685041768394
chr1	5855701	6039823	0.318671301869903	288	0.136989810880007	0.853713277119813	5045	0.398595213053906	6	4	2	-6.8105078386467
chr1	6040048	6083266	0.0127711749796141	40	0.0921316644251236	0.87849008338908	1179	0.287534097405568	5	5	0	-6.74830371886569
chr1	6084675	6146093	0.32417472473837	110	0.168528261168101	0.839835485912303	1893	0.300290793817866	6	4	2	-6.78084258227911
chr1	6146923	6679713	0.00195147742036939	396	0.119541633427399	0.88761865887149	15079	0.288106591369271	5	5	0	-6.77091803206349
chr1	6684649	7198880	0.332218706764065	169	0.164719259616441	0.862995484418895	13748	0.468731727200185	5	3	2	-6.8556590167072
chr1	7205003	7680750	0.00534118062320577	206	0.127175966481056	0.833419420690275	12995	0.278227312061625	4	4	0	-6.74771029333794
