chromosome	start.pos	end.pos	Bf	N.BAF	sd.BAF	depth.ratio	N.ratio	sd.ratio	CNt	A	B	LPP
chr1	10109	138156	0.347986334503504	77	0.164762920254029	0.635702912643634	2123	0.483402921882694	3	2	1	-6.76195305206085
chr1	181611	261753	0.123438017592866	46	0.159439640722803	2.17157341650564	468	3.70211866558419	16	14	2	-6.73319322502217
chr1	264627	988731	0.013159094586514	337	0.161658449207662	1.10916413286358	9944	1.50170551965744	7	7	0	-6.73707168275667
chr1	988819	1036800	0.406288754047459	77	0.158013470964193	0.91143094049127	1494	0.314916296414408	5	3	2	-6.73824159042736
chr1	1042813	1293734	0.00378829390183527	439	0.122416153373121	0.882535389821385	7530	0.303464869104177	5	5	0	-6.74652298630876
chr1	1295028	1363157	0.38375966395319	103	0.138376325375148	0.892785268585706	2064	0.309636813232965	5	3	2	-6.74558934743119
chr1	1363688	1373007	0.0143800799331057	44	0.0918447162483962	0.913629875828139	309	0.407858022012915	6	6	0	-6.74781802250285
chr1	1373248	1427502	0.313656109815013	108	0.138205206586893	0.901933318750235	1688	0.295247111473559	6	4	2	-6.74708110032844
chr1	1427503	2125296	0.00506597572759099	837	0.166451063612286	0.856049588953398	20414	0.446224449615088	5	5	0	-6.74077749641392
chr1	2133900	2211079	0.338920604126169	81	0.116557613052489	0.850754664450688	2174	0.275955689882837	6	4	2	-6.74466838392967
chr1	2236553	2437267	0.00966924239533318	198	0.167632761893589	0.867141580461608	5838	0.30109905500377	5	5	0	-6.74178830103392
chr1	2437336	2650249	0.356545604440053	130	0.157525529634352	0.836271116886782	6179	0.287407867673837	6	4	2	-6.77934359850538
chr1	2652186	2655067	0.204703673808362	25	0.122883413581058	0.265841951409226	500	0.054458594924238	4	3	1	-7.24088314806681
chr1	2657785	2681727	0.0206141830894115	94	0.0795209087325233	3.23953711433244	650	6.41962043251566	20	20	0	-6.77308120909416
chr1	2681744	2683549	0.129193180069365	30	0.0838540330012499	1.26470990492677	191	0.938844575386087	8	7	1	-6.73453024397086
chr1	2683648	2688292	0.0717955556314189	56	0.146145309960247	0.647048118325139	414	0.81808153855634	13	12	1	-6.73952939820804
chr1	2690155	2695117	0.0292065050353798	24	0.0596868033383731	4.97444267810809	212	6.49912408133759	20	19	1	-6.80499295312319
chr1	2695361	2697290	0.0844356289368072	24	0.100100737303457	1.11177641164175	126	3.27687283452544	12	11	1	-6.73313574765408
chr1	2697314	2699629	0.476659080231308	26	0.156451226118066	0.593616685562287	114	3.42171623419399	19	10	9	-6.73356671850965
chr1	2747489	2759496	0.48089923172593	64	0.170480876249117	0.106715676398207	446	0.0657432423174783	2	1	1	-8.29923633715041
chr1	2759586	2973143	0.00686953942938751	213	0.125124177136702	0.780843517307135	5823	0.417783558605365	5	5	0	-6.73565820372258
chr1	2974150	3089719	0.344883178149784	252	0.133187865059004	0.771072840904801	3261	0.295366827327036	6	4	2	-6.7786987242681
chr1	3090063	3252187	0.010101557279924	99	0.137047410719768	0.770612330007259	4500	0.402275690674196	5	5	0	-6.73759407922127
chr1	3252524	3323635	0.38259099680099	80	0.130170515605153	0.762127468358568	1939	0.261518426580325	5	3	2	-6.7458183154409
chr1	3324161	3999847	0.00425995095347298	651	0.166924324429539	0.789313382125043	19014	0.263920257383108	5	5	0	-6.73640373643592
chr1	4001295	4049486	0.296360825374901	117	0.115406471011939	0.822716902307966	1352	0.306752653031499	7	5	2	-6.76898168004493
chr1	4049623	4594558	0.00274066424640496	850	0.10014851526171	0.791191134511519	14799	0.269772083328569	5	5	0	-6.73532421944272
chr1	4595913	4689016	0.366406272172938	166	0.173085326548846	0.783612502675844	2542	0.284000726853712	5	3	2	-6.75616589639634
chr1	4690970	4977752	0.0024037245253678	394	0.0879650708495561	0.819823558181655	7621	0.283547386818853	5	5	0	-6.73397738370128
chr1	4977832	5252306	0.00489553054773434	249	0.166904356614883	0.829970008933927	7112	0.349457955265773	5	5	0	-6.7345715330375
chr1	5256662	5298324	0.000259844462698888	39	0	0.790818864399637	1303	0.313507602071116	1	1	0	-Inf
chr1	5302232	5342971	0.346749966796123	107	0.0880825775568192	0.807788458337015	1074	0.275317535594235	6	4	2	-6.75756091321934
chr1	5348962	5602827	0.00862249730618248	64	0.191077165393777	0.827577576084328	6636	0.272528224439196	5	5	0	-6.73550160919523
chr1	5602842	5726264	-0.000500382169060232	165	0.0062719061771796	0.845046270771556	3350	0.326342568765061	5	5	0	-6.73829075837125
chr1	5726805	5733854	0.388646208728835	22	0.156203864184428	0.856211003344885	214	0.245361645325956	5	3	2	-6.73644010621905
chr1	5733928	5766661	0.00581460340325857	62	0.133011787607404	0.808386104863422	937	0.369308731951922	5	5	0	-6.73417632088472
chr1	5767095	6036856	0.351990406127915	350	0.149384525926096	0.847554557310908	7476	0.333596585435674	6	4	2	-6.76828966894116
chr1	6038206	6086245	0.00785925614214855	48	0.120026000064525	0.867569815293876	1307	0.254019319075392	5	5	0	-6.73790870298579
chr1	6087823	6146093	0.346854339473493	105	0.176255743158449	0.840859325742359	1798	0.273927171171996	6	4	2	-6.74590022414481
chr1	6146923	6679713	0.00259515085782402	395	0.129753747511404	0.851865601646528	15266	0.280501839342055	5	5	0	-6.74492830142392
chr1	6684649	7198880	0.340781953553139	170	0.169238721429781	0.869596231228723	13712	0.442109965603913	6	4	2	-6.75258164852343
chr1	7205003	8330717	0.00257374502935204	775	0.137061706521243	0.871531998966453	31427	0.339927124071806	5	5	0	-6.76720628199134
chr1	8332335	8499600	0.344018896363425	97	0.121119991766423	0.881473477081416	4404	0.285389487663738	6	4	2	-6.74868798579876
chr1	8501244	9188077	0.00278674269647372	395	0.12892358209887	0.883088898472076	18473	0.292923653270899	5	5	0	-6.77163646642606
chr1	9188818	9202997	0.498543588463896	35	0.129382099732121	0.806198975686823	424	0.274239267367187	6	3	3	-6.73692476137051
chr1	9203172	9301724	-0.00118474140116787	191	0.0662906490506535	0.909744329482729	2836	0.345713834364105	6	6	0	-6.73518229677226
chr1	9302282	9686938	0.0070798290089843	252	0.173420112939641	0.842886956531757	10830	0.281729318247901	5	5	0	-6.7394072161261
chr1	9687685	10560213	0.00237854093155815	677	0.0338742634613467	0.865195793966345	23769	0.33358300326024	5	5	0	-6.75839677699529
chr1	10560662	10831443	0.0118992729602054	188	0.158899052788651	0.845038800879299	7497	0.284030440238478	5	5	0	-6.74057247450714
chr1	10832148	10845308	0.429020173356799	16	0.0920271699010678	0.884454321626755	374	0.385125189702259	7	4	3	-6.73624585131154
chr1	10847325	11587612	0.00181496084008614	451	0.0574079464305916	0.853115453456654	20184	0.359473300860185	5	5	0	-6.7440417204726
chr1	11587885	12161549	0.311131856823359	490	0.159937187299599	0.869995375988114	16245	0.391202658973811	6	4	2	-6.77051638568144
chr1	12163394	12550995	0.014591511511014	59	0.124777492200743	0.881311485660042	10064	0.27823739306086	5	5	0	-6.76418890332809
chr1	12551152	12567734	0.3670282561957	70	0.133608045932452	0.90025937587786	499	0.267258749245704	8	5	3	-6.7532757624607
chr1	12568159	13071541	0.00497968329432324	785	0.0999499138022429	1.08961769958969	11501	0.981296244482296	7	7	0	-6.73494107892402
chr1	13094174	13114772	-0.00118578828607419	95	0	0.621669009587006	377	0.333780778787086	1	1	0	-Inf
chr1	13115177	13191666	0.0235536465618503	113	0.132858573680834	1.09034804396339	733	2.70037012006472	7	7	0	-6.75183655724237
chr1	13193318	13222698	0.0223053241229086	42	0.0475430057776534	2.3821211786743	370	5.64514641856033	15	15	0	-6.86227273813214
