chromosome	start.pos	end.pos	Bf	N.BAF	sd.BAF	depth.ratio	N.ratio	sd.ratio	CNt	A	B	LPP
chr1	10109	138156	0.0737963091118581	73	0.162479300871119	0.484472869646557	1968	0.376589171657735	3	3	0	-6.85647136890632
chr1	181611	712281	0.0461472831136759	136	0.141942827331771	1.95468984593768	3727	2.30342929846657	18	17	1	-6.74234213858537
chr1	715674	853464	0.49846839159772	48	0.160346233040738	0.922644653700792	3062	0.328112431627446	6	3	3	-6.73323727801106
chr1	857343	973693	0.00919244479744463	173	0.142404870929394	0.892097545005047	3405	0.299065312081277	6	6	0	-6.73582749059096
chr1	973858	1068824	0.35751142300253	112	0.163562478469038	0.89122332642407	2856	0.298933479439003	6	4	2	-6.74638098383163
chr1	1068881	1293734	0.00289709660410753	431	0.126570308584447	0.861025040129646	6849	0.286125626230357	6	6	0	-6.73832741411489
chr1	1295028	1363157	0.363572962211631	106	0.133879631405606	0.841970019528532	1941	0.284763958953873	6	4	2	-6.76650330712677
chr1	1363688	1373007	0.0105980687798108	44	0.0907614342618055	0.926236277660546	320	0.3924168491955	6	6	0	-6.74121126060688
chr1	1373248	1427502	0.311970036126044	108	0.131154688645719	0.870427354363875	1600	0.252228979788976	6	4	2	-6.74990414484336
chr1	1430853	1495204	0.0381914871805412	109	0.154658805909421	0.85433609165971	1876	0.327850179961707	6	6	0	-6.77081304777921
chr1	1495205	1537160	-8.73420822303794e-05	67	0.0565833638908068	0.837856485309583	1270	0.359544284684178	6	6	0	-6.7343495218372
chr1	1537493	1589491	0.330931513345241	75	0.159677067125388	0.866032369060454	1516	0.310268065548618	6	4	2	-6.73395035977691
chr1	1590024	1641019	0.00908468032037868	38	0.0895325461140013	0.866041620191663	1542	0.289117618644377	6	6	0	-6.74008690302617
chr1	1644361	1657287	0.498292091954849	19	0.102519517468569	0.898184702940361	434	0.261752931129949	6	3	3	-6.73321467499425
chr1	1660271	1992764	0.00607474958576598	265	0.166167568282741	0.921849283328524	9532	0.449204845273804	6	6	0	-6.73400492074673
chr1	1992967	2004141	0.335371915645309	32	0.0977811084069429	0.893816574777768	338	0.281637564693161	6	4	2	-6.73331679867441
